Key,Description,Standard
SAY.Final.213.Miss,,"...But it’s worth it in the end. {wi}It has to be. I can’t stop now, it can’t all have been for nothing.{wc}This never-ending game of thoughts and words and morals, the screams of corruption and the grayness of fixing it, someone needs to be the Robin Hood in this life even if it breaks me."
SAY.Final.214.Miss,,"I was so jealous of you, Ellie, of being able to live in an illusion of a fixable world.{wc}Let me live like that too.{wc}She took my eye and you took my heart, so let me take that illusion from you.{wc}Let me breathe air that no longer suffocates me, let me believe these sacrifices are not in vain."
SAY.Final.215.Miss,,{s=15}...{/s}
SAY.Final.216.Miss,,"I can only keep going on. Perhaps it’s time to find someone new, just one last time. {wi}I will miss you dearly, Ellie."
SAY.Final.222.Ellie,,...Let’s partner up.
SAY.Final.223.Miss,,"Oh!{wc}You mean like, going to buying replacement TVs together or something? No worries, I didn’t break any TVs this time."
SAY.Final.224.Ellie,,"No, no, like... like killing..."
SAY.Final.225.Miss,,...Do you want to help with that?
SAY.Final.226.Ellie,,...
SAY.Final.233.Ellie,,"Yeah. You’re right, someone needs to help fix this world, however messed up that definition of ‘fix’ might be."
SAY.Final.228.,,{i}Miss's expression softens.
SAY.Final.229.Miss,,"..Really? That’s the first time...{wc}You understand then, right? The demise when one is sentenced for the murder of a murderer, the dread when the rape of a child equals a month of community service simply because of the type of lawyer money can bring."
SAY.Final.230.Miss,,"But I’ve been corrupted by all this death and all these feelings.{wc}When I first took you on, I wondered if I should let you stay innocent forever. But my jealousy got the better of me, with purposely not cleaning up traces of blood and doing things in plain sight of you.{wc}So I’m sorry about that, Ellie. But I’m even more sorry for the things you’ll end up witnessing, your inevitable complete loss of innocence."
SAY.Final.234.Ellie,,"...{wc}...It’s okay, I want to help.{wi} I want to stay with you."
SAY.Final.235.Miss,,"Well then, if that’s the case, let us end as many corrupted souls as we can. We’ll become the Robin Hoods of this world together, yeah?"
SAY.Final.236.Ellie,,Okay...!
SAY.Final.240.Ellie,,Do I even have a choice?
SAY.Final.241.Miss,,"What do you mean? Of course you do!{wc}I wouldn’t ever push you to do anything you don’t want to do. Not even in a different timeline, had you said something else."
SAY.Final.242.Ellie,,"..No, sorry -- I mean, it’s okay, I’ll do it. I’ll help you clean."
SAY.Final.243.Miss,,"That’s my Ellie!{wc}See, even in a world of corrupted social hierarchies and people and governments, I can always depend on you.{wc}Come on, you’re cleaning up this manor today."
SAY.Final.245.Miss,,Let’s make today a good one!
CHARACTER.Ellie,,Ellie
CHARACTER.Miss,,Miss
