Key,Description,Standard,pt-br,uk,ru
SAY.Minigame2.36.Miss,,"Aww yeah, you have to keep your eyes peeled.","Ahh sim, você deve manter seus olhos bem abertos.","Ой, справді, треба бути пильною.","О да, нужно быть на чеку."
SAY.Minigame2.37.Ellie,,I don’t know if I’m good at this...,Não sei se sou boa nisso...,"Не певна, що я в цьому добра...","Не знаю, хорошо ли я справляюсь с этим..."
SAY.Minigame2.38.Miss,,Don’t worry!! We’re in this together.,Não se preocupe!! Estamos nessa juntas.,Не хвилюйся! Ми з тобою разом.,Не переживай!! Мы вместе в этом!
SAY.Minigame2.39.Ellie,,"Waaah, thank you Miss!","Ahhhh, obrigada, Dona!","Ох, дякую Вам, Панно!","Ох, спасибо Вам , Мисс"
SAY.Minigame2.40.Miss,,"Haha~, anytime.","Haha~, a qualquer hora.","Ха-ха, нема за що!",Ха-ха нету за что!
SAY.Minigame2.42.Ellie,,"{i}(...!? Is this blood? ...No, it can’t be, right? Should I ask? ...Maybe, yeah, otherwise I wouldn’t know how to clean it.)","{i}(...!? Isso é sangue? ...Não, não pode ser, não é? Será que devo perguntar? ...Talvez sim, senão não saberia como limpar isso.)","{i}(...!? Це кров? ...Ні, не може бути, еге ж? Може, запитати? ...Мабуть, так, варто, а то я не знатиму, як цю пляму вичистити.)","{i}(...!? Это кровь? ...Нет, не может быть, правда? Спросить? ...Может быть, да, иначе я не буду знать, как это очистить.)"
SAY.Minigame2.50.Ellie,,"Hey, Miss...","Ei, Dona...","Гей, Панно...","Эй ,  Мисс...."
SAY.Minigame2.43.Miss,,Yeah?,Sim?,Так?,Да?
SAY.Minigame2.44.Ellie,,Um... is this... you know?,Hum... isso é... você sabe?,Це... ну... Ви розумієте?,Это...ну..вы понимаете?
SAY.Minigame2.45.Miss,,What?,O quê?,Що?,Что?
SAY.Minigame2.46.Ellie,,Uh.. I think there might be.. blood here?,É... eu acho que possa ter.. sangue aqui?,"Я думаю, що тут є... кров?","Я думаю, тут есть...кровь"
SAY.Minigame2.51.Ellie,,...,...,...,....
SAY.Minigame2.47.Miss,,"Ah, don’t worry, don’t mind that! It’s probably just a coffee spill. See? The machine’s right there.","Ah, não se preocupe, não ligue pra isso! Provavelmente é só café derramado. Viu? A cafeteira está logo ali.","Ах, не бійся, не звертай на це уваги! Скоріш за все, це просто розлита кава. Бачиш? Ось поруч кавомашина.","Ах, не переживай, не обращай внимания! Это, наверное, просто пролитый кофе. Видишь? Кофемашина прямо там"
SAY.Minigame2.48.Ellie,,"Ohh, okay...","Ah, tá certo...","О, гаразд...","Охх, окей..."
SAY.Minigame2.49.Miss,,"Here, I can clean this up instead, don’t worry about it!","Aqui, deixa que eu limpo isso, não se preocupe!","Ось, я сама це витру, не переймайся!","Вот, я могу это убрать, не переживай!"
SAY.Minigame2.52.Ellie,,"Ah, alright..!","Ah, tudo bem..!","А, гаразд!..","А, окей!.."
SAY.Minigame2.53.Ellie,,{i}(I need to stop overthinking!),{i}(Eu preciso parar de me preocupar tanto!),{i}(Мені треба менше себе накручувати!),{i}(Мне нужно прекратить слишком много думать!)
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли
CHARACTER.Miss,,Miss,Dona,Панна,Мисс
