Key,Description,Standard,pt-br,uk,ru
SAY.Final.289.Ellie,,Huh..??? Miss?,... Hã..?? Dona?,Га??? ...Панно?,А...???? Мисс?
SAY.Final.299.,,"{i}A dead man lies in front of me, and Miss holds the knife.{wc}I’m unable to say anything for a few moments.{wc}When I finally get my voice back, I can only stutter incoherent words, gesturing wildly between the person on the ground and Miss.","{i}Na minha frente, um homem morto, e Dona segura uma faca.{wc}Por uns momentos, não consigo pronunciar uma palavra.{wc}Quando finalmente recupero minha voz, apenas gaguejo palavras sem sentido, apontando alternadamente para a pessoa no chão e para a Dona.","{i}Переді мною лежить мертва людина, а в руках Панни -- ніж.{wc}Кілька хвиль я не могла видати з себе жодного звуку.{wc}Коли я нарешті змогла опанувати свій голос, то могла лише нерозбірливо белькотати, вказуючи то на мертве тіло, то на Панну.","{i}Передо мной лежит мертвый человек, а мисс держит нож.{wc}Я не могу ничего сказать несколько мгновений.{wc}Когда я, наконец, восстанавливаю голос, я могу только заикаясь произносить невнятные слова, яростно указывая между человеком на земле и мисс."
SAY.Final.300.Miss,,Ah.. Ellie?,Ah.. Ellie?,Ах... Еллі?,Ах... Элли?
SAY.Final.302.Miss,,...You’re here early.{wc}Or I guess you’re finally here on time?,...Você chegou cedo.{wc}Ou será que finalmente chegou na hora certa?,"...Ти сьогодні рано.{wc}Або, гадаю, якраз учасно?","...Ты пришла рано.{wc}Или, наверное, ты наконец-то пришла вовремя?"
SAY.Final.116.Ellie,,What... {wi}Are you okay? {wi}Did they -- {wi}why are you holding -- {wi}did you do this?{wc}No -- {wi}you can’t -- {wi}but -- {w=0.2}why? What-- {w=0.2}why would you do this? What did they do to you?,O que...{wi} você está bem? {wi}Eles... {wi}por que você está segurando... {wi}você fez isso?{wc}Não...{wi} você não pode... {wi}mas...{w=0.2} por quê? O que... {w=0.2}por que você faria isso? O que eles fizeram para você?,Що... {wi}Ви в порядку? {wi}Вони -- {wi}чому Ви тримаєте -- {wi}це Ви зробили?{wc}Ні -- {wi}Ви не могли -- {wi}але -- {w=0.2}чому? Що-- {w=0.2}навіщо Вам це було б робити? Що вони Вам заподіяли?,Что... {wi}Ты в порядке? {wi}Они — {wi}почему ты держишь — {wi}ты сделала это?{wc}Нет — {wi}ты не можешь — {wi}но — {w=0.2}почему? Что-- {w=0.2}почему ты это сделала? Что с ними случилось?
SAY.Final.92.Miss,,"I think you figured it out, so I’ll just answer your last question. What did this guy do to me?","Eu acho que você já descobriu, então apenas irei responder sua última pergunta. O que esse cara fez para mim?","Думаю, головне ти зрозуміла, тож відповім на твоє останнє запитання. Що цей чоловік зробив мені?","Думаю, ты уже разобралась, так что я просто отвечу на твой последний вопрос. Что этот парень сделал со мной?"
SAY.Final.134.Miss,,Nothing.,Nada.,Нічого.,Ничего.
SAY.Final.132.Miss,,"But he trafficked humans and laundered money (remember the jewelry store?). Hundreds of people -- children, teens, adults, 6 year olds and 30 year olds -- all assaulted in unthinkable ways. And all for a perception of luxury.","Mas ele traficava pessoas e lavava dinheiro (lembra-se da loja de joias?). Centenas de pessoas... crianças, adolescentes, adultos, pessoas com 6 anos, com 30 anos... todos violados de formas inimagináveis. E tudo por causa de luxúria.","Але він торгував людьми й відмивав гроші (пам’ятаєш ту ювелірну крамницю?). Сотні людей -- діти, підлітки, дорослі, 6- й 30-річні -- всі зазнали немислимої наруги. І все заради відчуття розкоші.","Но он торговал людьми и отмывал деньги (помните ювелирный магазин?). Сотни людей - дети, подростки, взрослые, шестилетние и тридцатилетние - все подверглись немыслимому насилию. И все ради ощущения роскоши."
SAY.Final.93.,,"{i}My legs give out, and I drop to my knees. I feel sick to my stomach.{wc}Thump, thump, thump... I can’t tell if it’s my heart or the apples around me.","{i}Minhas pernas fraquejam e caio de joelhos no chão. Sinto uma dor no estômago.{wc} Tum, tum, tum... eu não sei dizer se é o som do meu coração ou das maçãs colidindo ao meu redor.","{i}Мої ноги підкошуються -- і я падаю на коліна. Мені зле.{wc}Стук, стук, стук... Не можу сказати напевно, чи це серце стукає, чи яблука на підлозі.","{i}Мои ноги подкашиваются, и я падаю на колени. Мне становится плохо.{wc}Тух, тух, тух... Я не могу понять, это моё сердце или яблоки вокруг меня."
SAY.Final.96.Miss,,What’s wrong? {wi}Is it too disturbing?,O que foi?{wi}É muito perturbador?,Що таке? {wi}Занадто жахливо?,Что не так? {wi}Это слишком пугающе?
SAY.Final.97.Ellie,,"{s=15}...Of course, you... {/s}{s=30}...psychopath!","{s=15}...Claro que sim, sua...{/s}{s=30}...psicopata!","{s=15}...Звісно, ти... {/s}{s=30}...психопатка!","{s=15}...Конечно, ты... {/s}{s=30}...психопат!"
SAY.Final.98.,,{i}A beat of silence passes.,{i}Um momento de silêncio se passa.,{i}Минає хвиля тиші.,{i}Проходит момент молчания.
SAY.Final.99.Miss,,"Oh~, my Ellie, you’re so innocent~! {wi}I loved that about you, you know?{wc}I love your innocence, your naive little mind, so so much. And your reaction now -- to think I was scared of showing you! You don’t know how much better this makes me feel.","Ah~, minha Ellie, você é tão inocente~! {wi}Eu amei isso sobre você, sabia?{wc}Eu amo muito sua inocência, sua pequena mente ingênua. E a sua reação agora... achar que eu teria medo de te mostrar! Você não sabe o quão bem isso me fez sentir.","Ох~, Моя Еллі, ти така невинна~! {wi}Я люблю цю рису в тобі, знаєш?{wc}Я люблю твою невинність, твій маленький наївний розум, дуже-дуже сильно. І твою поточну реакцію -- подумати тільки, я боялася відкрити це тобі! Ти не уявляєш, як приємно мені від того стає.","О~, моя Элли, ты такая невинная~! {wi}Я обожала это в тебе, знаешь?{wc}Я так сильно люблю твою невинность, твой наивный маленький разум. И твоя реакция сейчас — думать, что я боялась тебе это показать! Ты не представляешь, как мне теперь стало легче."
SAY.Final.139.Miss,,"Oh, the sickly sweet sight of such a young and gullible person wandering the world on their own... the innocence one can never get back, the moment of love and loss...","Ah, a visão doce e doentia de uma jovem tão influenciável vagando pelo mundo sozinha... a inocência que ninguém pode recuperar, o momento de amor e perda...","Ох, до нудоти солодкий вид такої молодої та довірливої дівчини, що торує свій шлях у світі... невинність, яку не повернути, момент кохання й утрати...","О, этот приторно-сладкий взгляд на такую молодую и наивную душу, блуждающую по миру в одиночестве... невинность, которую уже нельзя вернуть, момент любви и утраты..."
SAY.Final.142.Ellie,,"What... you... you’re sick...{wc}W-- wait... what do you mean “scared of corrupting me”?{wc}If this is what I was supposed to clean today, then have we been cleaning up after your crimes this entire time??","O que... você... você é doente...{wc}E espera aí... o que você quis dizer com ""medo de me mostrar”?{wc}Se isso é o que era para eu arrumar hoje, então quer dizer que estivemos limpando cenas de crimes seus esse tempo todo??","Що... Ви... Ви хворі...{wc}С-- стривайте... тобто Ви «боялася зіпсувати мене»?{wc}Якщо й сьогодні я мала прибирати цей злочин, то весь цей час я прибирала за Вами???","Что... ты... ты больна...{wc}П-Подожди... что ты имеешь в виду, говоря ""боялась испортить меня""?{wc}Если это то, что мне нужно было очистить сегодня, то мы всё это время убирали за твоими преступлениями??"
SAY.Final.100.,,"{i}Miss opens her mouth to say something, but I cut her off.","{i}Dona abre a boca para falar algo, mas eu a interrompo.","{i}Панна розкриває рота, аби щось сказати, та я її перебиваю.","{i}Мисс открывает рот, чтобы что-то сказать, но я перебиваю её."
SAY.Final.145.Ellie,,"The -- the jewelry replacements! Those were fake, weren’t they? And everything you had me do, just so people wouldn’t notice something went wrong.{wc}The ‘feud’ at the jewelry shop, that one clerk’s assurement that the jewelry was genuine, the atrocious 2 AM worktimes, the blood you convinced me wasn’t blood.{wc}It was all a lie...? {wi}These were all your own crimes?","A... a substituição das joias! Elas eram falsas, não eram? E tudo o que você me obrigou a fazer, só para que ninguém notasse que algo estava errado.{wc}A discussão na loja de joias, aquela afirmação da atendente de que a joia era verdadeira, os terríveis turnos às 2 da manhã, o sangue que você me convenceu de que não era sangue.{wc}Era tudo mentira...? {wi}Eram todos crimes seus?","Під-- Підміна ювелірних прикрас! Вони були несправжніми, чи не так? І все, що Ви мене змушували робити, щоби люди не помітили, що щось не так.{wc}«Непорозуміння» в ювелірній крамниці, ті переконання продавця у справжності прикрас, гарування о 2 ночі, кров, що Ви мене переконували, що це насправді не вона.{wc}Усе це була брехня? {wi}Усе це були Ваші злочини?","Те -- замены ювелирных изделий! Они были фальшивыми, не так ли? И всё, что ты заставляла меня делать, чтобы люди не заметили, что что-то пошло не так.{wc}Тот 'конфликт' в ювелирном магазине, уверенность того продавца, что ювелирные изделия настоящие, ужасные рабочие часы в 2 ночи, кровь, которую ты убедила меня, что это не кровь.{wc}Всё это было ложью...? {wi}Это были твои собственные преступления?"
SAY.Final.102.Miss,,"You just noticed?{wc}Hahaha, you’re so cute. There’s more you haven’t observed yet.{wc}But yes, I guess some of what we’ve been covering have been ‘my’ crimes -- though they’re ours now, since you helped me cover them. Still valid crimes, if I do say so myself.","Você só percebeu agora?{wc}Haha, você é tão fofa. Ainda tem mais coisas que você não percebeu.{wc}Mas sim, acho que algumas das cenas nas quais trabalhamos foram de crimes ""meus"", embora eles agora sejam ""nossos"", já que você me ajudou a encobri-los. Ainda são crimes válidos, eu diria.","Ти тільки здогадалася?{wc}Ха-ха-ха, яка ж ти миленька. Хоча ти помітила далеко не все.{wc}Але так, гадаю, що деякі сцени злочину, з якими ми працювали, були «моїми» -- проте тепер вони наші, бо ти допомогла мені їх приховати. Але все ж справедливі злочини, якщо на те пішло.","
Ты только сейчас заметила?{wc}Хахаха, ты такая милая. Есть ещё кое-что, что ты не заметила.{wc}Но да, думаю, часть того, что мы убирали, были 'моими' преступлениями — хотя теперь они наши, потому что ты помогала мне скрывать их. Всё равно действительные преступления,  так скажу."
SAY.Final.103.Ellie,,"{s=15}...What do you mean, valid crimes?","{s=15}...O que você quer dizer com ""crimes válidos”?",{s=15}...Тобто «справедливі злочини»?,"{s=15}...Что ты имеешь в виду под ""действительными преступлениями""?"
SAY.Final.104.Miss,,"Oh, darling, haven’t you ever wondered why these places you’ve been cleaning up are interconnected?{wc}Or maybe you didn’t realize.","Ah, amada, você nunca pensou no porquê de todos esses lugares estarem conectados?{wc}Ou talvez você não tenha percebido.","О, люба, ти ніколи не замислювалася, яким чином усі ті місця, які ти прибирала, пов'язані між собою?{wc}Або ти просто не усвідомлювала.","О, дорогая, ты разве никогда не задумывалась, почему эти места, которые ты убираешь, связаны между собой?{wc}Или, может, ты не заметила."
SAY.Final.146.Miss,,"If only you did a little bit of research, though your naivety is one of your most charming points.","Se talvez você tivesse pesquisado um pouco, embora sua ingenuidade seja uma das suas características mais encantadoras.","Якби ж ти лише спробувала все дослідити бодай трішки, хоча твоя наївність є однією з найдорогоцінніших рис.","Если бы ты немного поизучала, хотя твоя наивность — одна из самых очаровательных черт."
SAY.Final.105.Ellie,,"I... Don’t harm me, please. I’m going. I’m leaving. I’m quitting.","Eu... Não me machuque, por favor. Eu estou indo. Estou indo embora. Estou me demitindo.","Я... Благаю, не чіпайте мене. Я йду. Я йду геть. Я звільняюся.","Я... Пожалуйста, не трогай меня. Я ухожу. Я покидаю это. Я увольняюсь."
SAY.Final.106.Miss,,...And where would you go? At least we’re helping our world here.,...E para onde você iria? Pelo menos estamos ajudando nosso mundo aqui.,...І куди ти збираєшся йти? Принаймні тут ми допомагаємо нашому світу.,"..А куда ты пойдешь? По крайней мере, мы помогаем нашему миру здесь."
SAY.Final.150.Miss,,"Oh, Ellie, wherever you go, there’s going to be terrible people, corrupt ones that would throw you away without a single thought.{wc}But I wouldn’t.{wc}And think about it. All we’re doing is cleaning the world, one mistake at a time.","Ah, Ellie, aonde quer que você vá, verá pessoas terríveis, corrompidas, que se livrariam de você sem pensar duas vezes.{wc}Mas eu não faria isso.{wc}E pense nisso. Tudo o que estamos fazendo é limpar o mundo, um erro de cada vez.","Ох, Еллі, куди б ти не пішла, довкола будуть жахливі люди, зіпсовані індивіди, що пройдуть по твоїй голові без зайвої думки.{wc}Але я не така.{wc}Просто подумай про це. Ми очищуємо світ, по одній хибі за раз.","О, Элли, куда бы ты ни пошла, там будут ужасные люди, испорченные, которые выбросят тебя, не задумавшись ни на секунду.{wc}Но я не буду.{wc}Подумай об этом. Всё, что мы делаем, — это чистим мир, одну ошибку за раз."
SAY.Final.107.Ellie,,You mean one corpse at a time.,Você quer dizer um corpo de cada vez.,Цебто по одному тілу за раз.,Ты имеешь в виду одно тело за раз.
SAY.Final.108.Miss,,"Hahaha, sure, that works too.{wc}And yet we’re never going to run out of these corpses. In the end, the immoral acts of humanity will drown us all.","Hahaha, claro, pode ser, também.{wc}E, ainda assim, nunca será o suficiente. No fim, os atos imorais da humanidade afogarão todos nós.","Ха-ха-ха, правда, можна й так сказати.{wc}І все ж трупи ніколи не закінчаться. Врешті-решт аморальні вчинки людства потоплять нас усіх.","Хахаха, да, это тоже подойдёт.{wc}И всё же мы никогда не исчерпаем эти тела. В конце концов, аморальные поступки человечества поглотят нас всех."
SAY.Final.109.Ellie,,"...No, you’re the one committing those immoral acts. A lot of people do good in this world without needing to resort to crime.{wc}We can fix everything without having to go through this.","...Não, é você quem está cometendo atos imorais. Muitas pessoas fazem o bem neste mundo sem precisar recorrer ao crime.{wc}Nós podemos consertar tudo sem precisarmos passar por isso.","...Ні, саме Ви вчиняєте всі ці аморальні речі. Багато людей чинять лише добро в цьому світі, не вдаючись до злочинів.{wc}Можна все виправити, самим не вдаючись до подібного.","...Нет, ты — тот, кто совершает эти аморальные поступки. Многие люди делают добро в этом мире, не прибегая к преступлениям.{wc}Мы можем всё исправить, не проходя через это."
SAY.Final.111.Miss,,Have you ever truly believed that whatever ‘good’ is defined as could outweigh human nature?,"Você realmente acredita que o ""bem"", seja lá o seu significado, pode superar a natureza humana?","Чи вірила ти коли-небудь по-справжньому в те, що «добро» переважає людську природу?","Ты когда-нибудь действительно верила, что то, что называют «добром», может перевесить природу человека?"
SAY.Final.112.Miss,,"Tell me you’ve never thought twice about being spit at for having this job, even though it’s really the backbone of society. ","Diga-me que você nunca pensou duas vezes sobre ser menosprezada por ter esse emprego, mesmo com ele sendo a espinha dorsal da sociedade.","Тільки скажи, що ти ніколи не думала про те, що тебе заплюють за твою роботу, хоч вона і є важливою основою суспільства. ","Скажи мне, что ты никогда не задумывалась дважды о том, что на тебя плюют из-за этой работы, хотя она на самом деле является основой общества."
SAY.Final.113.Miss,,"And look around you, at the people littering in the streets, blatantly lying to each others’ faces just to get a promotion, or cheating on their lover ‘just for a night.’ What’s there to love about people like that?","E olhe a sua volta, para as pessoas poluindo as ruas, mentindo descaradamente apenas para conseguir uma promoção no trabalho, traindo seus cônjuges por ""apenas uma noite"". O que essas pessoas têm de bom?","І поглянь довкола, поглянь на людей, що волочаться вулицями, відверто брешуть одне одному в лице, аби отримати підвищення, або зраджують коханим «лише на одну ніч». І за що таких людей можна любити?","Посмотри вокруг: люди, которые мусорят на улицах, прямо в глаза врут друг другу ради повышения или изменяют своим партнерам «просто на одну ночь». Что можно любить в таких людях?"
SAY.Final.155.Miss,,"Sure, a single action might not define one’s entire being.{wc}But tell me you’ve never wished you could be someone else, to take their place in this universe -- or even just a single one of their possessions. {wi}Tell me you’ve never dreamed of being on top of the world, of being better than everyone else.{wc}Tell me you’ve lived your life without an inkling of selfishness or immorality.{wi} Because you cannot -- all of that is human nature.{wc}And we’re here doing this job, seeing this truth: for every mistake we clean up, infinitely more occur.{wc}People believe they can wash away their mistakes, but do you really think there’s anything left to clean up in this disaster of a world? We might as well say there’s no point to it all.","Claro, uma pequena ação não pode definir uma pessoa por completo.{wc}Mas diga-me que você nunca desejou ser outra pessoa, tomar o lugar dela nesse universo – ou, pelo menos, ter alguma coisa que é dela. Diga-me que você nunca sonhou em estar no topo do mundo, em ser melhor do que todos.{wc}Diga-me que você viveu sua vida inteira sem demonstrar ter um pingo de egoísmo ou imoralidade. Porque você não pode... tudo isso faz parte da natureza humana.{wc}E nós estamos realizando esse trabalho, vendo esta verdade: para cada erro que eliminamos, inúmeros outros acontecem.{wc}As pessoas acreditam que podem se purificar de seus erros, mas você realmente pensa que existe algo para ser purificado nesse mundo horrível? Nós podemos dizer, também, que nada disso tem sentido.","Звісно, один вчинок не визначає всю вдачу людини.{wc}Але скажи, що ти ніколи не хотіла бути кимось іншим, зайняти їхнє місце у світі -- або невеличку частку їхніх надбань. {wi}Скажи, що ти ніколи не мріяла бути на вершині світу, бути кращою за всіх інших.{wc}Скажи, що ти досі жила без жодного натяку на егоїзм та аморальність.{wi} Адже ж це неможливо -- усе це людська вдача.{wc}І ось ми тут виконуємо свою роботу й бачимо правду: за кожною виправленою помилкою виникає інша.{wc}Люди вірять в можливість відмитися від своїх гріхів, але чи ти сама віриш, що щось можливо виправити в цій світовій катастрофі? Можна сказати, що все це безглуздо.","Конечно, одно действие не может определить весь характер человека.{wc}Но скажи мне, что ты никогда не желала быть кем-то другим, занять их место в этом мире — или хотя бы завладеть чем-то их собственным. {wi}Скажи мне, что ты никогда не мечтала оказаться на вершине мира, быть лучше всех остальных.{wc}Скажи мне, что ты прожила свою жизнь без малейшего намёка на эгоизм или аморальность.{wi} Потому что ты не можешь — всё это часть человеческой природы.{wc}А мы здесь, выполняем эту работу, видя эту правду: за каждую ошибку, которую мы убираем, происходят бесконечные новые.{wc}Люди верят, что могут смыть свои ошибки, но ты правда думаешь, что в этом катастрофическом мире ещё что-то осталось для исправления? Мы могли бы сказать, что в этом всем нет смысла."
SAY.Final.157.Miss,,"Really, the phrase ‘cleaning up’ is all a beautiful lie. For as long as humanity remains corrupt, our work will never be done.","Na verdade, a palavra ""purificando"" é uma linda mentira. Enquanto a humanidade permanecer corrompida, nosso trabalho nunca estará feito.","Справді-бо, фраза «відмитися» -- солодка брехня. Допоки людство зіпсуте, нашій роботі не буде кінця.","На самом деле, фраза «убирать» — это просто красивая ложь. Пока человечество остаётся коррумпированным, наша работа никогда не закончится"
SAY.Final.161.Ellie,,"So why do you still do this? You know, if there’s ‘no point to it all’?","Então por que você continua fazendo tudo isso? Sabe, se nada disso tem sentido?",Тоді навіщо Ви продовжуєте це робити? Якщо «все це безглуздо»?,"Так почему ты всё ещё это делаешь? Ты ведь знаешь, что «в этом всем нет смысла»?"
