Key,Description,Standard,pt-br,uk,ru
SAY.Flowchart.5.Miss,,"Oh, I can get that for you.","Ah, eu posso pegá-la pra você.","Ах, я можу його прибрати.","О, я могу снять его для тебя."
SAY.Flowchart.23.Ellie,,{i}(Miss picks up the spider with her hands and moves it outside the doorway.),{i}(Dona pega a aranha com as mãos e a leva para fora.),{i}(Панна бере павука голими руками й викидає за двері.),{i}(Мисс берет паука руками и выносит его за дверь.)
SAY.Flowchart.66.Miss,,"There, better?","Pronto, melhor?","Ось, так краще?","Вот, теперь лучше?"
SAY.Flowchart.65.Ellie,,Waahh.. yes... maybe I shouldn’t be a maid.,Aaahh.. sim.. talvez eu não devesse ser uma faxineira.,А-ах... так... мені не варто бути покоївкою...,"Ух... да... может, мне не стоит быть горничной."
SAY.Flowchart.64.Miss,,"Oh, nonsense, everyone’s bound to be scared of something.","Ah, bobagem, todos estão fadados a terem medo de algo.","Нісенітниця, всі мають власні страхи.","О, чепуха, у каждого есть свои страхи!"
SAY.Flowchart.67.Ellie,,{i}(She’s so nice... are all employers like this?),{i}(Ela é tão legal... todos os patrões são assim?),{i}(Вона така лагідна... всі роботодавці такі?),{i}(Она такая милая... все ли работодатели такие?)
SAY.Flowchart.7.Ellie,,"{i}(These pillows are really stiff. I can’t imagine someone sleeping with these, it must be so uncomfortable.){wc}(My neck hurts just thinking about it...)","{i}(Esses travesseiros são muito duros. Mal posso imaginar alguém dormindo com eles, deve ser muito desconfortável.){wc}(Meu pescoço dói só de imaginar...)","{i}(Ці подушки надто жорсткі. Не можу й уявити, щоби хтось спав на таких, це, мабуть, дуже незручно.){wc}(Мені мулить шию лиш від однієї думки про них...)","{i}(Эти подушки такие жесткие. Не могу представить, как кто-то спит на них — должно быть, это так неудобно.){/i} {wc}(Моя шея уже болит, просто думая об этом...)"
SAY.Flowchart.11.Ellie,,"{i}(Oh... did someone... no, it doesn’t seem like it...){wc}(I wanna get out of here...)","{i}(Ah... será que alguém... não, não parece ser...){wc}(Eu tenho que sair daqui...)","{i}(Ой... тут хтось... ні, навряд чи...){wc}(Я хочу втекти звідси...)","{i}(О... кто-то... нет, похоже, нет...) {/i} {wc}(Хочу выбраться отсюда...)"
SAY.Flowchart.13.Ellie,,"{i}(Some of the clothes are so small. Like something I’d wear when I was eight or something. Oh, why does time pass so fast..)","{i}(Algumas peças de roupa são muito pequenas, como algo que eu usaria quando tinha oito anos ou algo assim. Ah, por que o tempo passa tão rápido...)","{i}(Деякі речі дуже малі. Такі, які я могла носити десь у вісім рочків. Ох, час спливає, як вода...)","{i}(Некоторые вещи такие маленькие. Как что-то, что я носил(а), когда мне было восемь. Ох, почему время так быстро летит...)"
SAY.Flowchart.29.Ellie,,I feel like I’m cleaning a lot of beds recently.{wc}Maybe I’ll be the bed cleaning expert instead of the glass cleaning expert.,Eu sinto que estou arrumando muitas camas recentemente.{wc}Talvez eu me torne especialista em arrumar camas ao invés de especialista em reparar vidros.,"Мені здається, віднедавна я  встигла прибрати так багато ліжок.{wc}Можливо, я все-таки стану експерткою з ліжок, а не зі скла.","Кажется, я последнее время много кроватей убираю. {wc} Может, я стану экспертом по чистке кроватей, а не окон."
SAY.Flowchart.68.Miss,,"You have the skills to clean any mess, there’s no need for you to limit yourself to just one type.","Você possui habilidade para limpar qualquer bagunça, não há necessidade de limitar-se apenas a um tipo.","Ти маєш здібності в прибиранні різного характеру, дарма обмежувати себе лише в одному.","У тебя есть все навыки, чтобы справиться с любой уборкой, не стоит ограничиваться только одним типом."
SAY.Flowchart.69.Ellie,,{i}(Ah... Miss is so nice!),{i}(Ah... a Dona é tão legal!),{i}(Ах... Панна така добра!),{i}(Ах... Мисс такая милая!)
SAY.Flowchart.71.Ellie,,"{i}(Urk... is this blood? I feel a little queasy..){wc}(No, no, I’m sure it’s not blood, I’m just overthinking again. It’s okay.)","{i}(Eca... isso é sangue? Me sinto um pouco enjoada..){wc}(Não, não, estou certa de que não é sangue, só estou me preocupando demais. Tá tudo bem.)","{i}(У-у... це кров? Мене трішки нудить..){wc}(Ні-ні, я впевнена, що це не кров, -- я просто знову надумую. Все в порядку.)","{i}(Урк... это кровь? Меня немного мутит...) {/i} {wc}(Нет, нет, это точно не кровь, я просто снова все накручиваю. Все в порядке.)"
SAY.Flowchart.81.Ellie,,{i}(This reminds me of my childhood.),{i}(Isso me lembra minha infância.),{i}(Це нагадує мені про моє дитинство.),{i}(Это напоминает мне мое детство.)
SAY.Flowchart.87.Ellie,,"I kinda wanna use this fan... it’s a little hot... Miss, do you mind if I turn it on?","Eu meio que quero usar esse ventilador... tá um pouco calor... Dona, você se importa se eu ligá-lo?","Хотіла би я ввімкнути цей вентилятор... трошки душно... Панно, Ви не проти, якщо я його ввімкну?","Я как-то хочу включить этот вентилятор... немного жарко... Мисс, не против, если я его включу?"
SAY.Flowchart.88.Miss,,"Huh? Oh, the fan?{wc}I don’t think it works very well, it seems like it’d be quite loud. But turn it on if you wish.","Hã? Ah, o ventilador?{wc}Eu não acho que ele funcione bem, parece que seria um pouco barulhento. Mas ligue-o, se desejar.","Га? А, вентилятор?{wc}Не думаю, що він справний, гадаю, від нього буде багато шуму. Але вмикай, якщо хочеш.","А? О, вентилятор? {wc}Не думаю, что он работает очень хорошо, кажется, он будет довольно громким. Но если хочешь, включай."
SAY.Flowchart.89.Ellie,,{i}I turn on the fan.,{i}Eu ligo o ventilador.,{i}Я ввімкнула вентилятор.,{i}Я включаю вентилятор.
SAY.Flowchart.97.Ellie,,"{i}In a second, the room is filled with clanking and screeching of metal and plastic. It feels like a few screws would fall off if I left it on for a second longer.{wc}I hurriedly turn it back off.","{i}Em um instante, a sala é infestada com o barulho de metal e plástico rangendo e batendo. Parece que alguns parafusos sairiam voando se eu o deixasse ligado por mais um segundo.{wc}Eu me apressei para desligá-lo.","{i}Умить скрегіт та брязкіт наповнили кімнату. Здається, ось-ось всі його гвинтики розкрутяться.{wc}Я поспішила вимкнути його.","{i}Через секунду комната наполняется звуками скрежета металла и пластика. Кажется, что если я оставлю его включенным еще на секунду, несколько винтов могут отпасть. {/i} {wc}Я спешно выключаю его обратно."
SAY.Flowchart.91.Ellie,,{i}(Miss was right... I should just listen to her next time.),{i}(Dona estava certa... eu devo dar ouvidos a ela na próxima vez.),{i}(Панна була права... Варто до неї прислухатися наступного разу.),{i}(Мисс была права... В следующий раз просто послушаю её.)
SAY.Flowchart.98.Ellie,,"{i}(No wind for today, I guess... how is it so hot and humid at 2 AM?)","{i}(Sem vento hoje, eu acho... como está tão quente e húmido às 2 da manhã?)","{i}(Здається, сьогодні без вітру... Як може бути настільки спекотно й вогко о 2 ночі?)","{i}Наверное, сегодня без ветра... как так получилось, что так жарко и влажно в 2 ночи?"
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли
CHARACTER.Miss,,Miss,Dona,Панна,Мисс
