Key,Description,Standard,pt-br,uk,ru
SAY.Flowchart.234.Ellie,,"...{wc}...But going through my stash, I really don’t have much.{wc}I guess I’ll settle for some cherries I got from JEFB Grocery? They’re pretty good!",...{wc}...Mas analisando minhas reservas eu vi que não tenho muito dinheiro.{wc}Será que devo dar pra ela algumas cerejas que comprei mais cedo no mercado JEFB? Elas são muito boas!,"...{wc}...Але трохи понишпоривши, я зрозуміла, що мої запаси скінчилися.{wc}Гадаю, доведеться зупинитися на вишнях, що я їх купила в продуктовому «JEEB»... Вони нічогісінькі!","...{wc}...Но, перебирая свои запасы, я понимаю, что у меня не так много. {wc}Наверное, придётся остановиться на вишне, которую я купила в JEFB Grocery. Они довольно вкусные!"
SAY.Flowchart.241.,,"{i}I walk into the unnamed abandoned building.{wc}It doesn’t even have an address! Miss just told me it was connected to the place at 721 Effix Street and that I’d have to search for a staircase down.{wc}I did find this place after searching a while, though it does give me a bit of the creeps. It’s so dirty, and there are so many random pairs of children's shoes and litter everywhere.","{i}Eu entro no prédio abandonado e sem nome.{wc}Ele não tem nem um endereço! Dona só me disse para ir até a Rua Effix, número 721 e procurar por uma escadaria para descer.{wc}Acabei encontrando depois de procurar um pouco, embora esse lugar me dê arrepios. É muito sujo, tem muito lixo e vários pares aleatórios de sapatinhos de criança.","{i}Я заходжу в безіменну покинуту будівлю.{wc}В неї навіть немає адреси! Панна просто сказала, що вона пов’язана з місцем на вулиці Effix, 721 і що мені потрібно знайти сходи, що ведуть донизу.{wc}Я справді знайшла потрібне місце після деякого часу пошуків, і воно навіює моторошні думки. Там так брудно, а довкола розкидано дитяче взуття й інший мотлох.","{i}Я захожу в заброшенное здание без названия.{wc} У него даже нет адреса! Мисс просто сказала, что оно связано с местом на улице Эффикс, 721, и что мне нужно искать лестницу вниз.{wc} Я всё же нашла это место после долгих поисков, хотя оно немного пугает. Тут так грязно, и везде валяются случайные пары детских туфель и мусор"
SAY.Flowchart.249.Miss,,Ellie! Good to see you again.,Ellie! Que bom te ver de novo.,Еллі! Рада тебе знову бачити.,Элли! Рада тебя снова видеть.
SAY.Flowchart.248.Ellie,,"Hi Miss!! Yeah, I think I’m finally beginning to get the hang of noticing the smaller things. It’s all because of you!{wc}And on that note, here are a few cherries I brought you!","Oi, Dona!! Sim, eu acho que finalmente estou começando a pegar o jeito de notar as pequenas coisas. Tudo por causa de você!{wc}Falando nisso, aqui estão algumas cerejas que eu trouxe pra você!","Вітаю, Панно!! Так, думаю, я починаю краще помічати дрібні речі. Усе завдяки Вашим зусиллям!{wc}І кажучи про це, я принесла для Вас трохи смачненьких вишень!","Привет, мисс!! Да, мне кажется, я наконец начинаю замечать мелочи. Всё благодаря тебе!{wc} И на этой ноте, вот несколько вишен, которые я принесла тебе!"
SAY.Flowchart.247.Miss,,Oh...!! Oh? For me?,Ah...!! Ah? Pra mim?,Ой!.. Га? Для мене?,О...!! О? Для меня?
SAY.Flowchart.250.Ellie,,Yes! Because you’ve done so much for me.,Sim! Porque você já fez muito por mim.,Так! Бо Ви так багато зробили для мене.,Да! Потому что ты так много для меня сделала.
SAY.Flowchart.256.Miss,,"Oh my, I’ve never .. ah .. thank you, Ellie.","Ah nossa, eu nunca .. ah .. obrigada, Ellie.","Ох, я б навіть не... дякую тобі, Еллі.","О, боже, я никогда... ах... спасибо, Элли."
SAY.Flowchart.255.Ellie,,"My pleasure, hehe!","O prazer é meu, hehe!","Прошу, ха-ха!","На здоровье, хех!"
SAY.Flowchart.254.Ellie,,"{i}(I got them on sale, they were buy one pound get one pound free...)","{i}(Estavam na promoção, se comprasse meio quilo, levava um quilo...)",{i}(Я взяла їх за знижкою: купуй пів кілограма вишень і отримай ще пів кіла задарма...),"{i} (Я купила их на распродаже, была акция — купи один фунт, получи второй в подарок...)"
SAY.Flowchart.251.Miss,,"Oh, I almost forgot to introduce you to the location.","Ah, eu quase me esqueci de te apresentar o lugar.","Ох, я ледь не забула представити тобі нову локацію.","О, я чуть не забыла познакомить тебя с этим местом."
SAY.Flowchart.258.Miss,,"I can’t disclose much, but today’s gonna be a hard one. I know we can do it, though. I trust you to take care of the visible things; I will handle the less prominent elements.","Eu não posso dar muitos detalhes, mas hoje será um dos difíceis. Entretanto, eu sei que conseguiremos. Eu confio em você para cuidar das coisas mais aparentes; eu vou cuidar das coisas menos relevantes.","Багато я розкрити не можу, але сьогодні буде важко. Та я знаю, що ми впораємося. Довіряю тобі подбати про виразні проблеми; я же подбаю про менш очевидні.","Я не могу много рассказать, но сегодня будет тяжело. Хотя я уверена, что мы справимся. Я доверяю тебе заняться видимыми вещами, а я возьмусь за менее заметные элементы."
SAY.Flowchart.260.Ellie,,Ah.. okay!,Ah.. tá bem!,Ах... добре!,Ах... хорошо!
SAY.Flowchart.262.Ellie,,"{i}(She’s been telling me less and less about the crime scenes we visit recently. But honestly, I don’t mind too much. Hearing about them sometimes make my head hurt!){wc}(Plus, I know Miss can’t tell me most things. I much more enjoy the time I spend with her!)","{i}(Ela tem me contado cada vez menos sobre os lugares que temos visitado. Mas, sinceramente, eu não ligo tanto. Ouvir sobre eles às vezes me dá dor de cabeça!){wc}(Além do mais, eu sei que a Dona não pode me contar a maioria das coisas. Eu gosto mesmo é de passar esse tempo com ela!)","{i}(Вона почала розповідати мені дедалі менше про сцени злочину. Але чесно кажучи, мене це не надто турбує. Іноді краще менше знати, аби ліпше спати!){wc}(Крім того я знаю, що Панна не може мені багато чого оповідати. Мені більше подобається проводити з нею час!)","{i} (Она всё меньше и меньше рассказывает мне о местах преступлений, которые мы посещаем. Но, честно говоря, меня это особо не беспокоит. Иногда, когда она говорит об этом, у меня начинает болеть голова!){wc} (К тому же, я знаю, что мисс не может рассказать мне многое. Я гораздо больше наслаждаюсь временем, которое провожу с ней!)"
SAY.Flowchart.263.Miss,,Alright then! Let’s make it a good one!,"Certo, então! Vamos fazer um bom trabalho!",Добре! Тоді зробімо це!,"Ну что, сделаем этот день хорошим!"
CHARACTER. ,, ,,,
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли
CHARACTER.Store Clerk,,Store Clerk,Atendente,Продавчиня,Продавщица
CHARACTER.Miss,,Miss,Dona,Панна,Мисс
