Key,Description,Standard,pt-br
SAY.Final.289.Ellie,,Huh..??? Miss?,... Hã..?? Dona?
SAY.Final.299.,,"{i}A dead man lies in front of me, and Miss holds the knife.{wc}I’m unable to say anything for a few moments.{wc}When I finally get my voice back, I can only stutter incoherent words, gesturing wildly between the person on the ground and Miss.","{i}Na minha frente, um homem morto, e Dona segura uma faca.{wc}Por uns momentos, não consigo pronunciar uma palavra.{wc}Quando finalmente recupero minha voz, apenas gaguejo palavras sem sentido, apontando alternadamente para a pessoa no chão e para a Dona."
SAY.Final.300.Miss,,Ah.. Ellie?,Ah.. Ellie?
SAY.Final.302.Miss,,...You’re here early.{wc}Or I guess you’re finally here on time?,...Você chegou cedo.{wc}Ou será que finalmente chegou na hora certa?
SAY.Final.116.Ellie,,What... {wi}Are you okay? {wi}Did they -- {wi}why are you holding -- {wi}did you do this?{wc}No -- {wi}you can’t -- {wi}but -- {w=0.2}why? What-- {w=0.2}why would you do this? What did they do to you?,O que…{wi} você está bem? {wi}Eles... {wi}por que você está segurando... {wi}você fez isso?{wc}Não...{wi} você não pode... {wi}mas...{w=0.2} por quê? O que... {w=0.2}por que você faria isso? O que eles fizeram para você?
SAY.Final.92.Miss,,"I think you figured it out, so I’ll just answer your last question. What did this guy do to me?","Eu acho que você já descobriu, então apenas irei responder sua última pergunta. O que esse cara fez para mim?"
SAY.Final.134.Miss,,Nothing.,Nada.
SAY.Final.132.Miss,,"But he trafficked humans and laundered money (remember the jewelry store?). Hundreds of people -- children, teens, adults, 6 year olds and 30 year olds -- all assaulted in unthinkable ways. And all for a perception of luxury.","Mas ele traficava pessoas e lavava dinheiro (lembra-se da loja de joias?). Centenas de pessoas... crianças, adolescentes, adultos, pessoas com 6 anos, com 30 anos... todos violados de formas inimagináveis. E tudo por causa de luxúria."
SAY.Final.93.,,"{i}My legs give out, and I drop to my knees. I feel sick to my stomach.{wc}Thump, thump, thump... I can’t tell if it’s my heart or the apples around me.","{i}Minhas pernas fraquejam e caio de joelhos no chão. Sinto uma dor no estômago.{wc} Tum, tum, tum... eu não sei dizer se é o som do meu coração ou das maçãs colidindo ao meu redor."
SAY.Final.96.Miss,,What’s wrong? {wi}Is it too disturbing?,O que foi?{wi}É muito perturbador?
SAY.Final.97.Ellie,,"{s=15}...Of course, you... {/s}{s=30}...psychopath!","{s=15}...Claro que sim, sua…{/s}{s=30}…psicopata!"
SAY.Final.98.,,{i}A beat of silence passes.,{i}Um momento de silêncio se passa.
SAY.Final.99.Miss,,"Oh~, my Ellie, you’re so innocent~! {wi}I loved that about you, you know?{wc}I love your innocence, your naive little mind, so so much. And your reaction now -- to think I was scared of showing you! You don’t know how much better this makes me feel.","Ah~, minha Ellie, você é tão inocente~! {wi}Eu amei isso sobre você, sabia?{wc}Eu amo muito sua inocência, sua pequena mente ingênua. E a sua reação agora... achar que eu teria medo de te mostrar! Você não sabe o quão bem isso me fez sentir."
SAY.Final.139.Miss,,"Oh, the sickly sweet sight of such a young and gullible person wandering the world on their own... the innocence one can never get back, the moment of love and loss...","Ah, a visão doce e doentia de uma jovem tão influenciável vagando pelo mundo sozinha... a inocência que ninguém pode recuperar, o momento de amor e perda..."
SAY.Final.142.Ellie,,"What... you... you’re sick...{wc}W-- wait... what do you mean “scared of corrupting me”?{wc}If this is what I was supposed to clean today, then have we been cleaning up after your crimes this entire time??","O que... você... você é doente…{wc}E espera aí... o que você quis dizer com ""medo de me mostrar”?{wc}Se isso é o que era para eu arrumar hoje, então quer dizer que estivemos limpando cenas de crimes seus esse tempo todo??"
SAY.Final.100.,,"{i}Miss opens her mouth to say something, but I cut her off.","{i}Dona abre a boca para falar algo, mas eu a interrompo."
SAY.Final.145.Ellie,,"The -- the jewelry replacements! Those were fake, weren’t they? And everything you had me do, just so people wouldn’t notice something went wrong.{wc}The ‘feud’ at the jewelry shop, that one clerk’s assurement that the jewelry was genuine, the atrocious 2 AM worktimes, the blood you convinced me wasn’t blood.{wc}It was all a lie...? {wi}These were all your own crimes?","A... a substituição das joias! Elas eram falsas, não eram? E tudo o que você me obrigou a fazer, só para que ninguém notasse que algo estava errado.{wc}A discussão na loja de joias, aquela afirmação da atendente de que a joia era verdadeira, os terríveis turnos às 2 da manhã, o sangue que você me convenceu de que não era sangue.{wc}Era tudo mentira...? {wi}Eram todos crimes seus?"
SAY.Final.102.Miss,,"You just noticed?{wc}Hahaha, you’re so cute. There’s more you haven’t observed yet.{wc}But yes, I guess some of what we’ve been covering have been ‘my’ crimes -- though they’re ours now, since you helped me cover them. Still valid crimes, if I do say so myself.","Você só percebeu agora?{wc}Haha, você é tão fofa. Ainda tem mais coisas que você não percebeu.{wc}Mas sim, acho que algumas das cenas nas quais trabalhamos foram de crimes ""meus"", embora eles agora sejam ""nossos"", já que você me ajudou a encobri-los. Ainda são crimes válidos, eu diria."
SAY.Final.103.Ellie,,"{s=15}...What do you mean, valid crimes?","{s=15}...O que você quer dizer com ""crimes válidos”?"
SAY.Final.104.Miss,,"Oh, darling, haven’t you ever wondered why these places you’ve been cleaning up are interconnected?{wc}Or maybe you didn’t realize.","Ah, amada, você nunca pensou no porquê de todos esses lugares estarem conectados?{wc}Ou talvez você não tenha percebido."
SAY.Final.146.Miss,,"If only you did a little bit of research, though your naivety is one of your most charming points.","Se talvez você tivesse pesquisado um pouco, embora sua ingenuidade seja uma das suas características mais encantadoras."
SAY.Final.105.Ellie,,"I... Don’t harm me, please. I’m going. I’m leaving. I’m quitting.","Eu... Não me machuque, por favor. Eu estou indo. Estou indo embora. Estou me demitindo."
SAY.Final.106.Miss,,...And where would you go? At least we’re helping our world here.,...E para onde você iria? Pelo menos estamos ajudando nosso mundo aqui.
SAY.Final.150.Miss,,"Oh, Ellie, wherever you go, there’s going to be terrible people, corrupt ones that would throw you away without a single thought.{wc}But I wouldn’t.{wc}And think about it. All we’re doing is cleaning the world, one mistake at a time.","Ah, Ellie, aonde quer que você vá, verá pessoas terríveis, corrompidas, que se livrariam de você sem pensar duas vezes.{wc}Mas eu não faria isso.{wc}E pense nisso. Tudo o que estamos fazendo é limpar o mundo, um erro de cada vez."
SAY.Final.107.Ellie,,You mean one corpse at a time.,Você quer dizer um corpo de cada vez.
SAY.Final.108.Miss,,"Hahaha, sure, that works too.{wc}And yet we’re never going to run out of these corpses. In the end, the immoral acts of humanity will drown us all.","Hahaha, claro, pode ser, também.{wc}E, ainda assim, nunca será o suficiente. No fim, os atos imorais da humanidade afogarão todos nós."
SAY.Final.109.Ellie,,"...No, you’re the one committing those immoral acts. A lot of people do good in this world without needing to resort to crime.{wc}We can fix everything without having to go through this.","...Não, é você quem está cometendo atos imorais. Muitas pessoas fazem o bem neste mundo sem precisar recorrer ao crime.{wc}Nós podemos consertar tudo sem precisarmos passar por isso."
SAY.Final.111.Miss,,Have you ever truly believed that whatever ‘good’ is defined as could outweigh human nature?,"Você realmente acredita que o ""bem"", seja lá o seu significado, pode superar a natureza humana?"
SAY.Final.112.Miss,,"Tell me you’ve never thought twice about being spit at for having this job, even though it’s really the backbone of society. ","Diga-me que você nunca pensou duas vezes sobre ser menosprezada por ter esse emprego, mesmo com ele sendo a espinha dorsal da sociedade."
SAY.Final.113.Miss,,"And look around you, at the people littering in the streets, blatantly lying to each others’ faces just to get a promotion, or cheating on their lover ‘just for a night.’ What’s there to love about people like that?","E olhe a sua volta, para as pessoas poluindo as ruas, mentindo descaradamente apenas para conseguir uma promoção no trabalho, traindo seus cônjuges por ""apenas uma noite"". O que essas pessoas têm de bom?"
SAY.Final.155.Miss,,"Sure, a single action might not define one’s entire being.{wc}But tell me you’ve never wished you could be someone else, to take their place in this universe -- or even just a single one of their possessions. {wi}Tell me you’ve never dreamed of being on top of the world, of being better than everyone else.{wc}Tell me you’ve lived your life without an inkling of selfishness or immorality.{wi} Because you cannot -- all of that is human nature.{wc}And we’re here doing this job, seeing this truth: for every mistake we clean up, infinitely more occur.{wc}People believe they can wash away their mistakes, but do you really think there’s anything left to clean up in this disaster of a world? We might as well say there’s no point to it all.","Claro, uma pequena ação não pode definir uma pessoa por completo.{wc}Mas diga-me que você nunca desejou ser outra pessoa, tomar o lugar dela nesse universo – ou, pelo menos, ter alguma coisa que é dela. Diga-me que você nunca sonhou em estar no topo do mundo, em ser melhor do que todos.{wc}Diga-me que você viveu sua vida inteira sem demonstrar ter um pingo de egoísmo ou imoralidade. Porque você não pode... tudo isso faz parte da natureza humana.{wc}E nós estamos realizando esse trabalho, vendo esta verdade: para cada erro que eliminamos, inúmeros outros acontecem.{wc}As pessoas acreditam que podem se purificar de seus erros, mas você realmente pensa que existe algo para ser purificado nesse mundo horrível? Nós podemos dizer, também, que nada disso tem sentido."
SAY.Final.157.Miss,,"Really, the phrase ‘cleaning up’ is all a beautiful lie. For as long as humanity remains corrupt, our work will never be done.","Na verdade, a palavra ""purificando"" é uma linda mentira. Enquanto a humanidade permanecer corrompida, nosso trabalho nunca estará feito."
SAY.Final.161.Ellie,,"So why do you still do this? You know, if there’s ‘no point to it all’?","Então por que você continua fazendo tudo isso? Sabe, se nada disso tem sentido?"
SAY.Final.160.Miss,,"Well, the world might be doomed, but I’m trying to make it at least relatively livable for the next generation.{wc}I target people in power, Ellie. People who do these things for fun, just for a short adrenaline boost and a flow of bloody cash.{wc}You know what that motel was used for? Storing the trafficked victims.{wc}And you know who used to live in that abandoned underground building? {wi}Children who were sold and raped and whose innocence was forcibly seized when their day came.{wc}And the guy I just killed was the ringleader of it all. So I’m getting rid of corrupt people like that, one by one.","Bem, o mundo pode estar condenado, mas eu estou tentando deixá-lo pelo menos habitável para a próxima geração.{wc}Meus alvos são pessoas poderosas, Ellie. Pessoas que fazem essas coisas por diversão, só por um pouco de adrenalina e um fluxo de grana manchada com sangue.{wc}Você sabe para quê usavam aquele hotel? Era o cativeiro com as vítimas do tráfico.{wc}E você sabe quem costumava morar naquela construção subterrânea? Crianças que eram vendidas e violadas, cuja inocência era brutalmente arrancada quando chegasse o dia.{wc}E o cara que acabei de matar era o líder de tudo isso. Então estou me livrando de pessoas corrompidas como ele, uma por uma."
SAY.Final.159.Ellie,,But you said all people were corrupt. Not everyone's like that.,Mas você disse que todo mundo estava corrompido. Mas nem todos são assim.
SAY.Final.163.Miss,,"We are, just to different degrees. And that includes you and I. Yet we’re still going to be the last ones here in a sea of chaos, cleaning up behind everyone else, for the future.{wc}There’s a sense of peace in staying back behind them all, in watching like we’re binging our favorite shows as they all take the same immoral paths and end up paying the price for it some way or another -- {wc}-- a price that sometimes we have to be the ones to dole out.{wc}But not everyone is in such a huge position of power, and some of us make better choices than others.","Somos todos corrompidos, mas em diferentes níveis. E isso inclui você e eu. Ainda assim, nós seremos as últimas que sobrarão nesse mar de caos, limpando e purificando o futuro.{wc}Há uma certa paz em ficar para trás deles, em vê-los seguir os mesmos caminhos imorais, como se estivéssemos maratonando nossa série favorita, e vê-los pagando por isso, de uma forma ou de outra...{wc} ...um preço que, às vezes, nós que acabamos tendo que cobrar.{wc}Mas nem todos estão numa posição de poder, e alguns de nós sabem fazer escolhas melhor que outros."
SAY.Final.164.Miss,,"In the end, it’s all about making life a little more tolerable for the next generation.","No fim, é tudo sobre deixar a vida um pouco mais tolerável para a próxima geração."
SAY.Final.166.Miss,,"Okay, no more fussing around now, I’d like to finish up so I can go back to sleep. Are you helping me clean today or not?","Certo, chega de enrolação, eu gostaria de terminar aqui para poder ir para casa e dormir. Você vai me ajudar ou não?"
MENU.Final.218,,I don't really want to.,Eu realmente não quero.
MENU.Final.219,,...Let's partner up.,...Vamos ser parceiras.
MENU.Final.238,,Do I even have a choice?,E por acaso tenho escolha?
SAY.Final.169.Ellie,,"...No, I don’t really want to. Actually, I want to quit.","...Não, eu realmente não quero. Na verdade, eu quero me demitir."
SAY.Final.176.Ellie,,"Humanity isn’t all that bad. And you’re... kind of creeping me out, Miss...","A humanidade não é tão ruim assim. E você está... meio que me assustando, Dona..."
SAY.Final.173.Miss,,"‘Humanity isn’t all that bad’? Think about yourself for a second, from the clothes you wear that were probably manufactured in a sweatshop to the way countless poor little animals went into making your cosmetics.{wc}Look at the accidents you see on the street, at the signs telling you not to feed animals or touch a relic yet people do so anyway.{wc}And I hate to bring this up, but if anything, global warming and the incompetence of humanity go hand in hand.{wc}So if you truly believe humanity ‘isn’t all that bad,’ then there wouldn't be so many unfixable problems in our world. But at the heart of it all, we’re just a corrupted species.","""A humanidade não é tão ruim assim""? Olhe para o espelho, desde as suas roupas, as quais devem ter sido fabricadas com exploração, até as suas maquiagens, que devem conter vários ingredientes provenientes de pobres animais.{wc}Olhe para os acidentes nas estradas, as placas dizendo para não alimentar os animais ou tocar em certas relíquias, mas, de qualquer forma, as pessoas persistem no erro.{wc}E eu odeio ter que falar disso, mas o aquecimento global anda de mãos dadas com a incompetência humana.{wc}Se você acredita que a humanidade não é tão ruim assim, não deveriam existir tantos problemas incorrigíveis no nosso mundo. Mas a verdade é esta: somos apenas uma espécie corrompida."
SAY.Final.174.Miss,,"That being said, you know you can’t escape, right? You’re a criminal. You helped cover up so many crimes--","Dito isso, você sabe que não pode escapar, certo? Você é uma criminosa. Você ajudou a encobrir muitos crimes..."
SAY.Final.170.Ellie,,I didn’t know it was illegal! I thought-- I thought-- it was just... being a cute girl dressing in a maid costume?{wi} That it was ... cool?,Eu não sabia que estava fazendo coisas ilegais! Eu pensei– eu pensei– estar apenas... sendo uma garota fofa com um traje de faxineira.{wi} Achei que era ... legal?
SAY.Final.179.Miss,,"Haha, I’ll never get over how cute you are.{wc}Ellie, you signed a contract when you first joined. Did you ever read it? You get to stay with me forever!","Haha, nunca vou superar o quão fofa você é.{wc}Ellie, você assinou um contrato quando aceitou o trabalho. Você sequer o leu? Você terá que ficar comigo para sempre!"
SAY.Final.180.Ellie,,..I don’t want to. I can report you..!,...Eu não quero. Eu posso te denunciar..!
SAY.Final.181.Miss,,And how would you do that?{wc}I have way more I can hold over your head than you mine. Ever wonder what’s under my mask?,E como você faria isso?{wc}Eu tenho muito mais provas dos seus atos criminosos do que você tem dos meus. Alguma vez você se perguntou o que tem debaixo da minha máscara?
SAY.Final.182.Ellie,,"...It doesn’t matter. I know your height, your name--","...Isso não importa. Eu sei sua altura, seu nome..."
SAY.Final.184.Miss,,"Sweetheart, I asked you to call me Miss for a reason. You don’t know my name.","Querida, eu te pedi para me chamar de Dona por um motivo. Você não sabe meu nome."
SAY.Final.187.Ellie,,"...Your name isn't -- ?{wc}Ahh -- no, I don’t care.{wi}I don’t want to have anything to do with someone as messed up as you.","...Seu nome não é...?{wc}Ahh... não, eu não ligo. {wi}Eu não quero ter nenhuma relação com alguém tão perturbado quanto você."
SAY.Final.186.Miss,,...Are you sure?,...Você tem certeza?
SAY.Final.297.Ellie,,"Yeah. Yeah, I don’t care what ‘corruption’ you say is in this world, I’m going to be a better person. You’re not the person I know.","Sim. Sim, eu não ligo para a corrupção que você diz que existe no mundo, eu vou ser uma pessoa melhor. Você não está agindo como a Dona que eu conheço."
SAY.Final.296.Miss,,You don't see it?,Você não vê?
SAY.Final.185.Ellie,,See what?,Não vejo o quê?
SAY.Final.188.Miss,,"The corruption right in front of you, from your politicians to your police force to your insulin prices?","A corrupção está bem na sua frente, desde os políticos até a força policial, até o preço da insulina."
SAY.Final.189.Ellie,,I don’t even take insulin! And those are all things we can fix!,Eu nem uso insulina! E essas são todas coisas que podemos consertar!
SAY.Final.190.Miss,,"Do you want to leave, then? Go out that door and forever see the world with such a narrow mindset?","Você quer ir embora, então? Ir por aquela porta e continuar para sempre vendo o mundo com essa mentalidade tão limitada?"
SAY.Final.192.Miss,,"Haa.. I thought you’d understand. This is a necessary evil. But sure, fine, {wi}I wouldn’t ever push you to do anything you don’t want to do.{wc}Consider your contract terminated.","Haa.. eu achei que você entenderia. Esse é um mal necessário. Mas claro, tudo bem,{wi} eu jamais te obrigaria a fazer algo que você não queira.{wc}Considere o seu contrato encerrado."
SAY.Final.191.,,"{i}She walks by me like she’s going to open the door for me. {wi}I let go of a breath I didn’t know I was holding.{wc}And then in a flash of silver, I go into shock for the second time that night.","{i}Ela passa por mim como se fosse abrir a porta para eu ir embora.{wi} Eu deixo escapar um suspiro que eu não sabia que estava segurando.{wc}Então, num piscar de olhos, eu entro em choque pela segunda vez naquela noite."
SAY.Final.199.,,"{i}My throat.{wc}I try to speak, to scream, but the signature smell and flow of blood choke up my mouth. {wi}It’s painful. It’s so painful. I’m drowning.{wc}Miss, it hurts, Miss -- but oh, I guess that’s not your real name, is it? {wi}How could you do this?{wi} What did I do? {wc}I can’t believe I ever trusted you. I thought we had something. But now I’ll die hating you.","{i}Minha garganta.{wc}Eu tento gritar, mas minha boca se enche de algo, e logo sobe o cheiro inconfundível de sangue. {wi}É doloroso. É doloroso demais. Estou me afogando. {wc}Dona, isso dói, Dona... mas ah, acho que esse não é seu nome, não é? {wi}Como você pôde? {wi}O que eu fiz?{wc}Eu não posso acreditar que confiei em você. Eu achei que tínhamos algo. Mas agora morrerei te odiando."
SAY.Final.202.,,"{i}...And you say something but I don’t register it.{wc}Whatever you say can’t do anything. Sorry can’t fix this, even an “I love you” can’t.{wc}It hurts, it hurts, it HURTS. {s=60}This pain this fear this loss this blood this agony these tears --","{i}...E você diz algo mas não consigo entender.{wc}O que quer que você fale não mudará nada. Desculpas não podem consertar isso, nem um ""eu te amo"" pode. Dói, dói, DÓI. {s=60}Essa dor, esse medo, essa perda, esse sangue, esse sofrimento, essas lágrimas..."
SAY.Final.203.,,"{i}{s=60}I can’t breathe, I can’t think, my mind, my nerves, I hope I die soon, I hope it ends soon.{/s}{wc}Is this what you did to that poor guy on the floor? What do you mean then, ‘necessary evil’? {wc}No one should go through this. {wi}Except you.","{i}{s=60}Eu não consigo respirar e nem pensar... minha mente, meus nervos, espero que eu morra logo, espero que acabe logo.{/s}{wc}Foi isso que você fez com esse pobre homem jogado no chão? O que você quer dizer com ""mal necessário”?{wc}Ninguém deveria ter que passar por isso. {wi}A não ser você."
SAY.Final.204.,,"{i}Broken, you’re broken, and now I am too, and{s=60} I’m on the floor bleeding out and drowning and it hurts so much and I wish it would stop and I hate you yet in my final moments all I think of is an illusion of you.","{i}Perdida, você está perdida, e agora eu também estou, e {s=60}estou no chão sangrando, me afogando. Dói tanto e eu só queria que parasse. Eu te odeio, mas agora, nos meus últimos momentos, só consigo pensar na pessoa que você fingiu ser."
SAY.Final.307.Miss,,"...{wc}...2 minutes and 13 seconds.{wc}I’m so sorry, my dear, I tried to aim for the back.{wc}A life exchanged for another, an innocent soul I tainted traded for one of a vile being. An eye for an eye -- or, I guess a life -- and now my heart for a neck.{wc}What will happen next time? Can I keep going like this? For people who don’t even give me a second glance unless I’m giving them all I have?","…{wc}...2 minutos e 13 segundos.{wc}Me desculpe, amada, eu tentei fazer com que fosse rápido.{wc}Uma vida em troca de outra, uma alma inocente que manchei pela alma de um ser cruel. Olho por olho... ou melhor, vida por vida... e, agora, meu coração por um pescoço.{wc}O que acontecerá na próxima vez? Será que consigo continuar assim? Por pessoas que nem me olham duas vezes a não ser que eu dê a elas tudo o que tenho?"
SAY.Final.213.Miss,,"...But it’s worth it in the end. {wi}It has to be. I can’t stop now, it can’t all have been for nothing.{wc}This never-ending game of thoughts and words and morals, the screams of corruption and the grayness of fixing it, someone needs to be the Robin Hood in this life even if it breaks me.","...Mas vale a pena no fim. Tem que valer. Não posso parar agora, não pode ter sido tudo em vão.{wc}Esse jogo interminável de pensamentos, palavras e moral, os gritos da corrupção e a insipidez de consertar tudo, alguém precisa ser o Robin Hood nesse mundo, mesmo que isso acabe comigo."
SAY.Final.214.Miss,,"I was so jealous of you, Ellie, of being able to live in an illusion of a fixable world.{wc}Let me live like that too.{wc}She took my eye and you took my heart, so let me take that illusion from you.{wc}Let me breathe air that no longer suffocates me, let me believe these sacrifices are not in vain.","Eu tinha muita inveja de você, Ellie, por conseguir viver com a ilusão de um mundo corrigível.{wc}Me deixe viver assim também.{wc}Ela levou meu olho e você meu coração, então deixe-me levar essa sua ilusão.{wc}Deixe-me respirar um ar que não me sufoque mais, deixe-me acreditar que esses sacrifícios não são em vão."
SAY.Final.215.Miss,,{s=15}...{/s},{s=15}...{/s}
SAY.Final.216.Miss,,"I can only keep going on. Perhaps it’s time to find someone new, just one last time. {wi}I will miss you dearly, Ellie.","Tudo o que posso fazer é seguir em frente. Talvez esteja na hora de encontrar uma nova ajudante, uma última vez. {wi}Sentirei muita saudade de você, Ellie."
SAY.Final.222.Ellie,,...Let’s partner up.,...Vamos ser parceiras.
SAY.Final.223.Miss,,"Oh!{wc}You mean like, going to buying replacement TVs together or something? No worries, I didn’t break any TVs this time.","Ah!{wc}Você quer dizer irmos comprar televisões substitutas juntas ou algo assim? Não se preocupe, eu não quebrei nenhuma televisão dessa vez."
SAY.Final.224.Ellie,,"No, no, like... like killing...","Não, não, tipo... tipo matar..."
SAY.Final.225.Miss,,...Do you want to help with that?,...Você quer ajudar com isso?
SAY.Final.226.Ellie,,...,…
SAY.Final.233.Ellie,,"Yeah. You’re right, someone needs to help fix this world, however messed up that definition of ‘fix’ might be.","Sim. Você está certa, alguém precisa ajudar a consertar esse mundo, independente do quão perturbadora seja a definição de ""consertar""."
SAY.Final.228.,,{i}Miss's expression softens.,{i}A expressão de Dona fica mais suave.
SAY.Final.229.Miss,,"..Really? That’s the first time...{wc}You understand then, right? The demise when one is sentenced for the murder of a murderer, the dread when the rape of a child equals a month of community service simply because of the type of lawyer money can bring.","..Sério? Essa é a primeira vez…{wc}Então você entende, certo? A injustiça de ser condenado pelo assassinato de um assassino, o pavor de quando o estupro de uma criança é perdoado após um mês de serviço comunitário apenas pelo tipo de advogado que alguém rico pode contratar."
SAY.Final.230.Miss,,"But I’ve been corrupted by all this death and all these feelings.{wc}When I first took you on, I wondered if I should let you stay innocent forever. But my jealousy got the better of me, with purposely not cleaning up traces of blood and doing things in plain sight of you.{wc}So I’m sorry about that, Ellie. But I’m even more sorry for the things you’ll end up witnessing, your inevitable complete loss of innocence.","Mas eu fui corrompida por toda essa morte e esses sentimentos.{wc}Quando te contratei, me perguntei se deveria te deixar ser inocente para sempre. Mas meu ciúme falou mais alto, e acabei propositalmente não limpando traços de sangue e fazendo coisas na sua frente.{wc}Então me desculpe por isso, Ellie. Mas eu te peço ainda mais desculpas pelas coisas que você acabará testemunhando, sua inevitável perda total da inocência."
SAY.Final.234.Ellie,,"...{wc}...It’s okay, I want to help.{wi} I want to stay with you.","…{wc}...Tá tudo bem, eu quero ajudar. {wi}Eu quero ficar com você."
SAY.Final.235.Miss,,"Well then, if that’s the case, let us end as many corrupted souls as we can. We’ll become the Robin Hoods of this world together, yeah?","Bom, se esse é o caso, vamos eliminar o máximo de almas corrompidas que conseguirmos. Nós nos tornaremos os Robin Hoods desse mundo juntas, certo?"
SAY.Final.236.Ellie,,Okay...!,Certo..!
SAY.Final.240.Ellie,,Do I even have a choice?,E por acaso tenho escolha?
SAY.Final.241.Miss,,"What do you mean? Of course you do!{wc}I wouldn’t ever push you to do anything you don’t want to do. Not even in a different timeline, had you said something else.","O que você quer dizer? Claro que tem!{wc}Eu jamais te obrigaria a fazer algo que você não queira. Nem em outra linha do tempo, caso você tivesse dito algo diferente."
