Key,Description,Standard,pt-br
SAY.Flowchart.249.Miss,,Ellie! Good to see you again.,Ellie! Que bom te ver de novo.
SAY.Flowchart.248.Ellie,,"Hi Miss!! Yeah, I think I’m finally beginning to get the hang of noticing the smaller things. It’s all because of you!{wc}And on that note, here are a few cherries I brought you!","Oi, Dona!! Sim, eu acho que finalmente estou começando a pegar o jeito de notar as pequenas coisas. Tudo por causa de você!{wc}Falando nisso, aqui estão algumas cerejas que eu trouxe pra você!"
SAY.Flowchart.247.Miss,,Oh...!! Oh? For me?,Ah...!! Ah? Pra mim?
SAY.Flowchart.250.Ellie,,Yes! Because you’ve done so much for me.,Sim! Porque você já fez muito por mim.
SAY.Flowchart.256.Miss,,"Oh my, I’ve never .. ah .. thank you, Ellie.","Ah nossa, eu nunca .. ah .. obrigada, Ellie."
SAY.Flowchart.255.Ellie,,"My pleasure, hehe!","O prazer é meu, hehe!"
SAY.Flowchart.254.Ellie,,"{i}(I got them on sale, they were buy one pound get one pound free...)","{i}(Estavam na promoção, se comprasse meio quilo, levava um quilo...)"
SAY.Flowchart.251.Miss,,"Oh, I almost forgot to introduce you to the location.","Ah, eu quase me esqueci de te apresentar o lugar."
SAY.Flowchart.258.Miss,,"I can’t disclose much, but today’s gonna be a hard one. I know we can do it, though. I trust you to take care of the visible things; I will handle the less prominent elements.","Eu não posso dar muitos detalhes, mas hoje será um dos difíceis. Entretanto, eu sei que conseguiremos. Eu confio em você para cuidar das coisas mais aparentes; eu vou cuidar das coisas menos relevantes."
SAY.Flowchart.260.Ellie,,Ah.. okay!,Ah.. tá bem!
SAY.Flowchart.262.Ellie,,"{i}(She’s been telling me less and less about the crime scenes we visit recently. But honestly, I don’t mind too much. Hearing about them sometimes make my head hurt!){wc}(Plus, I know Miss can’t tell me most things. I much more enjoy the time I spend with her!)","{i}(Ela tem me contado cada vez menos sobre os lugares que temos visitado. Mas, sinceramente, eu não ligo tanto. Ouvir sobre eles às vezes me dá dor de cabeça!){wc}(Além do mais, eu sei que a Dona não pode me contar a maioria das coisas. Eu gosto mesmo é de passar esse tempo com ela!)"
SAY.Flowchart.263.Miss,,Alright then! Let’s make it a good one!,"Certo, então! Vamos fazer um bom trabalho!"
CHARACTER.,,,
CHARACTER.Ellie,,Ellie,Ellie
CHARACTER.Store Clerk,,Store Clerk,Atendente
CHARACTER.Miss,,Miss,Dona
