Minigame2Init,,,,
Key,Description,Standard,pt-br,uk
SAY.Minigame2.24.Ellie,,"{i}Wait, our dress has pockets?!? No way, seriously?{wc}I reach my hand into the same place. {wi}There’s a tiny pocket!!!","{i}Espera aí, nossos trajes têm bolsos?!? Sem chance, sério?{wc}Eu coloco minha mão no mesmo lugar do traje. {wi}Tem um bolsinho!!!","{i}Стривайте, в наших сукнях є кишені?!? Не може бути, дійсно?{wc}Я засовую свою руку теж. {wi}А й справді, манюсінька кишеня!!!"
SAY.Minigame2.17.Ellie,,The cord snapped when it fell off the drawer.{wc}The screen also is cracked beyond repair...,O cabo arrebentou quando ela caiu do móvel.{wc}A tela também não tem conserto...,Шнур обірвався з падінням.{wc}Екран також розбився вщент...
SAY.Minigame2.16.Miss,,Good thing I brought an extra TV!,Que bom que eu trouxe uma televisão reserva!,"Добре, що я принесла запасний телевізор!"
SAY.Minigame2.25.Ellie,,..Huh!? You what?,..Hã!? Você o quê?,...Га?! Ви що?
SAY.Minigame2.26.Miss,,It never hurts to be prepared for this.,Nunca é demais estar preparada para essas coisas.,Завжди добре бути до цього готовою.
SAY.Minigame2.27.Ellie,,"{i}(Woah, Miss is always so neat and prepared...)","{i}(Uau, Dona é sempre tão organizada e preparada...)","{i}(Овва, Панна така кмітлива й підготовлена...)"
SAY.Minigame2.29.Ellie,,"{i}(I’m surprised this pillow is relatively untouched, given the tragic state of the TV and all.)","{i}(Estou surpresa que este travesseiro esteja praticamente intacto, se levarmos em conta o estado trágico da TV e tudo mais.)","{i}(Я здивована, що подушка майже в ідеальному стані, враховуючи телевізор та інші речі.)"
SAY.Minigame2.31.Ellie,,"{i}(Ugh, I almost didn’t catch that! Cleaning really is in the little things...)","{i}(Ugh, quase não percebi isso! A arte da arrumação realmente está nas pequenas coisas...)","{i}(Ух, ледь не пропустила це! Прибирання справді розкривається в дрібницях...)"
SAY.Minigame2.33.Ellie,,That was almost unnoticeable.,Isso estava quase imperceptível.,Цього було майже не помітно!
SAY.Minigame2.34.Miss,,What was?,O quê?,Ти про що?
SAY.Minigame2.35.Ellie,,"The lampshade, tilted like two degrees.","A luminária, estava inclinada uns dois graus.","Абажур, він похилився на два градуси."
SAY.Minigame2.36.Miss,,"Aww yeah, you have to keep your eyes peeled.","Ahh sim, você deve manter seus olhos bem abertos.","Ой, справді, треба бути пильною."
SAY.Minigame2.37.Ellie,,I don’t know if I’m good at this...,Não sei se sou boa nisso...,"Не певна, що я в цьому добра..."
SAY.Minigame2.38.Miss,,Don’t worry!! We’re in this together.,Não se preocupe!! Estamos nessa juntas.,Не хвилюйся! Ми з тобою разом.
SAY.Minigame2.39.Ellie,,"Waaah, thank you Miss!","Ahhhh, obrigada, Dona!","Ох, дякую Вам, Панно!"
SAY.Minigame2.40.Miss,,"Haha~, anytime.","Haha~, a qualquer hora.","Ха-ха, нема за що!"
SAY.Minigame2.42.Ellie,,"{i}(...!? Is this blood? ...No, it can’t be, right? Should I ask? ...Maybe, yeah, otherwise I wouldn’t know how to clean it.)","{i}(...!? Isso é sangue? ...Não, não pode ser, não é? Será que devo perguntar? ...Talvez sim, senão não saberia como limpar isso.)","{i}(...!? Це кров? ...Ні, не може бути, еге ж? Може, запитати? ...Мабуть, так, варто, а то я не знатиму, як цю пляму вичистити.)"
SAY.Minigame2.50.Ellie,,"Hey, Miss...","Ei, Dona...","Гей, Панно..."
SAY.Minigame2.43.Miss,,Yeah?,Sim?,Так?
SAY.Minigame2.44.Ellie,,Um... is this... you know?,Hum... isso é... você sabe?,Це... ну... Ви розумієте?
SAY.Minigame2.45.Miss,,What?,O quê?,Що?
SAY.Minigame2.46.Ellie,,Uh.. I think there might be.. blood here?,É... eu acho que possa ter.. sangue aqui?,"Я думаю, що тут є... кров?"
SAY.Minigame2.51.Ellie,,...,...,...
SAY.Minigame2.47.Miss,,"Ah, don’t worry, don’t mind that! It’s probably just a coffee spill. See? The machine’s right there.","Ah, não se preocupe, não ligue pra isso! Provavelmente é só café derramado. Viu? A cafeteira está logo ali.","Ах, не бійся, не звертай на це уваги! Скоріш за все, це просто розлита кава. Бачиш? Ось поруч кавомашина."
SAY.Minigame2.48.Ellie,,"Ohh, okay...","Ah, tá certo...","О, гаразд..."
SAY.Minigame2.49.Miss,,"Here, I can clean this up instead, don’t worry about it!","Aqui, deixa que eu limpo isso, não se preocupe!","Ось, я сама це витру, не переймайся!"
SAY.Minigame2.52.Ellie,,"Ah, alright..!","Ah, tudo bem..!","А, гаразд!.."
SAY.Minigame2.53.Ellie,,{i}(I need to stop overthinking!),{i}(Eu preciso parar de me preocupar tanto!),{i}(Мені треба менше себе накручувати!)
CHARACTER.Ellie,,Ellie,Ellie,Еллі
CHARACTER.Miss,,Miss,Dona,Панна
