Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.Flowchart.132.Miss,,"Of course. {wi}We have a hotel room to clean today -- it’s a new experience for you, but I’m sure you will do great!{wc}I’m here if you need any help, though I’ll mainly be taking care of some other things for a bit or checking over the things you clean.{wc}Our client is pretty important, and we don’t want him to be dissatisfied.{wc}There’s a lot of things this time, not just broken glass!","Claro.{wi} Nós temos um quarto de hotel para arrumar hoje... é uma nova experiência para você, mas eu tenho certeza que você se sairá bem!{wc}Estou aqui se precisar de ajuda, embora eu esteja principalmente cuidando de outras coisas e, também, checando as coisas que você arrumar.{wc}Nosso cliente é muito importante, e não queremos que ele fique insatisfeito.{wc}Temos muitas coisas para arrumar dessa vez, não apenas vidro quebrado!","Авжеж. {wi}Сьогодні ми прибираємо готельний номер -- це новий для тебе досвід, та я впевнена, що ти добре впораєшся!{wc}Раптом що, звертайся до мене, хоча я переважно піклуватимуся про деякі інші речі або перевірятиму ті, які ти вже прибрала.{wc}Наш клієнт доволі важливий, і ми не хочемо його розчарувати.{wc}На цей раз буде побільше, ніж просто бите скло!","Конечно. {wi}Сегодня нам нужно убраться в одном из номеров отеля — это новый опыт для тебя, но я уверен, что ты справишься на ура!{wc}Я тут, если тебе нужна будет помощь, хотя в основном буду заниматься другими делами или проверять, как ты справляешься с уборкой.{wc}Наш клиент довольно важный, и мы не хотим, чтобы он остался недоволен.{wc}На этот раз работы много, не только разбитое стекло!",當然。{wi}我們將清理一間飯店房間—這將會是全新的挑戰，但是我相信依照妳的實力一定能夠克服的！{wc}雖然今天我也有自己的工作需要完成，但是有問題直接找我問就對了。{wc}這次的客戶將會比平常嚴格，所以我們必須確保這次清理地滴水不漏。{wc}對了，這回的工作項目也會比平常繁雜！不將只是修復窗戶這麼簡單的工作而已！
SAY.Flowchart.133.Ellie,,OH MELON! {wi}Something new? {wi}Apart from fixing broken glass?,AH CÉUS! {wi}Algo novo? {wi}Além de reparar vidro quebrado?,Ой леле! {wi}Щось новеньке? {wi}Крім битого скла?,"О, дыня! {wi}Что-то новенькое? {wi}Кроме того, чтобы чинить разбитое стекло?",蛤？{wi}除了清理玻璃外的的工作內容？{wi}是什麼啊？
SAY.Flowchart.134.Miss,,"Haha, yeah~! I know you’ll pick it up in a heartbeat, though.{wc}Do you have any questions?","Haha, sim~! Entretanto, eu sei que você pegará o jeito rapidamente.{wc}Alguma pergunta?","Ха-ха, так~! Я знаю, що ти з усім розберешся за мить.{wc}Маєш якісь запитання?","Ха-ха, да-да~! Я уверена, что ты быстро освоишься.{wc}Есть какие-нибудь вопросы?",哈哈！感覺妳應該能很快習慣新的的工作內容呢！{wc}目前有任何問題嗎？
SAY.Flowchart.137.Miss,,"Mmm.. it’s hard to tell. All I can really say is that this is a bigger incident than anything we’ve done before.{wc}...My gut tells me that it is related to a smuggling issue, but I’m afraid I can’t confirm anything, dear.","Hum... é difícil dizer. O que eu posso dizer é que este é um incidente maior do que qualquer outro que já arrumamos.{wc}...Algo me diz que está relacionado com contrabando, embora eu não possa confirmar nada, querida.","М-м... складно сказати. Але можу сказати напевно, що цього разу ми маємо справу з чимось значно більшим.{wc}...Моя інтуїція підказує мені, що це щось пов’язане з контрабандою, але не ручаюся, люба","Ммм... трудно сказать. Всё, что я могу точно сказать, это что это инцидент гораздо серьёзнее, чем всё, что мы делали раньше.{wc}...Моя чуйка подсказывает, что это связано с контрабандой, но боюсь, я не могу ничего подтвердить, милая",嗯—還有點難說，感覺這次的犯罪現場的規模以及程度是我們工作以來遇到最大的吧？{wc}我的直覺認為這次算是走私案件，但連我也沒辦法百分百確定。
SAY.Flowchart.139.Ellie,,...!!{wc}WAA a smuggling issue? What kind? That sounds super dangerous..,"...!!{wc}QUÊE, contrabando? De que tipo? Isso parece muito perigoso...",...!!{wc}К-контрабанда? Яка саме? Звучить дуже небезпечно...,...!!{wc}Что? Контрабанда? Какого рода? Это звучит очень опасно...,{wc}蛤？走私？哪種啊？聽起來超嚴重的！
SAY.Flowchart.140.Miss,,"Haha~, I wish I could answer your questions, sweetheart.{wc}Unfortunately, there’s nothing else I can say about the situation except that you’ll be safe.","Haha~, eu queria poder responder a todas as suas perguntas, meu bem.{wc}Infelizmente, não há nada mais que eu possa dizer a não ser, é claro, que você estará segura.","Ха-ха~, хотіла б я відповісти на твоє питання, дорогенька.{wc}На жаль, більше я нічого не можу сказати в цій ситуації, крім того, що ти в безпеці.","Ха-ха~, жаль, что не могу ответить на твои вопросы, милая.{wc}К сожалению, я не могу сказать ничего больше о ситуации, кроме того, что ты будешь в безопасности.",我也希望能夠幫妳解答呢，寶貝。{wc}不幸的是，我沒辦法再把其他細節告訴妳了。
SAY.Flowchart.141.Ellie,,"Ahh, but how do you know I’ll be safe? What about you?{wc}Can you pleasee, pretty please let me in on some ~trade secrets~?","Ahh, mas como você sabe que estarei segura? E quanto a você?{wc}Você poderia, por favorzinho, me contar alguns ~segredos do ofício~?","Ах, але ж звідки Ви можете знати, що я в безпеці? Як щодо Вас?{wc}Не могли б Ви, будь ласонька, дуже-дуже прошу, посвяти мене в ~комерційну таємницю~?","Ах, но как ты знаешь, что я буду в безопасности? А что насчёт тебя?{wc}Пожалуйста, пожалуйста, поделись хоть парой торговых секретиков!",可是如果妳都把祕密藏給自己不會很悶嗎？{wc}不然這樣好了，我們來交換祕密，怎麼樣？
SAY.Flowchart.142.Miss,,"Oh Ellie, you’re so cute~","Ah, Ellie, você é tão fofa~","Ой, Еллі, ти така миленька~","Ох, Элли, ты такая милая!",歐艾莉，妳還真可愛～
SAY.Flowchart.168.Miss,,"I’m sorry though, no questions, remember?","Mas me desculpe, sem perguntas, lembra?","Але вибач, жодних питань, пам’ятаєш?","Прости, но никаких вопросов, помнишь?",真是抱歉，但不能有任何其他問題，還記得嗎？
SAY.Flowchart.143.Ellie,,"Awww hmph, okay.","Awww humpf, tá bom.","Е-е-ех, мгм, гаразд.","Ааа, ладно.",歐好吧～
MENU.Flowchart.146,,What's today's crime?,Qual o crime de hoje?,Який на цей раз злочин?,Какое сегодня преступление?,今天的「犯罪案件」是什麼呢？
MENU.Flowchart.148,,Will today be hard?,Hoje vai ser difícil?,Сьогодні буде тяжко?,Будет ли сегодня тяжело?,今天的工作內容會比較困難嗎？
MENU.Flowchart.164,,I'm ready to go!,Vamos começar!,Я готова розпочати!,Я готова к работе!,我準備好了！
SAY.Flowchart.150.Miss,,"Let’s just say that there is a lot more work to do. But don’t worry, I’ll give you a raise.","Vamos apenas dizer que tem muito mais trabalho para fazermos. Mas não se preocupe, vou te dar um aumento.","Скажімо, сьогодні доведеться попрацювати набагато більше. Але не хвилюйся, я підвищу твою зарплатню.","Скажем так, работы еще очень много. Но не волнуйся, я повышу тебе зарплату.",不瞞妳說，這次的工作內容會比平常來的艱辛。不過別擔心，我會幫妳加新的。
SAY.Flowchart.151.Ellie,,!!!! $$???!?$>/?,!!!! $$???!?$>\?,!!!! $$???!?$>/?,!!!! $$???!?$>/?,這麼好！？？
SAY.Flowchart.152.Ellie,,"{i}(Aaahh! If I get paid $1,500 normally, I can only imagine how much a raise will be!!){wc}(I’m gonna be RICHH $$$!)","{i}(Aaahh! Se recebo 7 mil reais normalmente, imagino quanto ganharei com um aumento!!){wc}(Serei RICA $$$!)","{i}(А-ах! Якщо я звичайно отримую $1500, уявіть, скільки я зароблятиму з підвищенням!!!){wc}(Я стану заможненькою паняночкою$$$!)","{i}(Аах! Если я обычно получаю $1500, то только представь, какое будет повышение!!) {wc}(Я стану ОЧЕНЬ обеспеченной $$$!)",{i}（哇！我平常的薪水已經夠豐厚了，真的無法想像在加薪後的薪水有多多。）{wc}（不過感覺沒多久後我的財富就能夠跟郭台銘匹敵了ㄟ！）
SAY.Flowchart.153.Ellie,,"Hehe, I bet this work will be nothing that we can’t do together!","Hehe, Aposto que este trabalho não será nada que não possamos fazer juntas!","Хе-хе, упевнена, ця роботонька не стане нам на заваді!","Хе-хе, уверена, эта работа будет ничем, с чем мы не справимся вместе!",我相信沒有工作能夠阻止我們兩個人的力量！
SAY.Flowchart.154.Miss,,That’s a given.,Isso é certo.,Ніде правди діти.,"
Ну, конечно!",必須說確實！
SAY.Flowchart.159.Miss,,Alright! Let’s make it a good one!,Tá bem! Vamos fazer um bom trabalho!,"Добре, зробімо це!",Давай сделаем это на высшем уровне!,好的！這次我們也盡心盡力吧！
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли,艾莉
CHARACTER.Miss,,Miss,Dona,Панна,Мисс,小姐
