Key,Description,Standard,pt-br,uk,ru,zh-TW
MENU.ENIntro.36,,I think I'll pass.,Acho que não.,"Гадаю, не варто","Пожалуй, я воздержусь.",妳沒看過 ATM 上播的車手廣告嗎？看起來就牙敗牙敗的！
SAY.ENIntro.30.,,Are you sure?,Tem certeza?,Ти певна?,Ты уверена?,你確定？
MENU.ENIntro.202,,Yes (why...),Sim (por que...),Так (чому-у...),Да (почему...),對啦！（靠你裝這遊戲幹什麼）
MENU.ENIntro.203,,No (good choice),Não (boa escolha),Ні (хороший вибір),Нет (хороший выбор),再想一下（好選擇）
SAY.ENIntro.37.Ellie,,"Alright, I’m in!","Certo, tô dentro!","Гаразд, я в ділі!","Ладно, я в деле!",好！我這就去應徵！
SAY.ENIntro.118.Ellie,,"Oh, it seems the company’s building is supposed to be... the one in front of me?","Ah, parece que o prédio da empresa é... este bem na minha frente?","Так... Виходить, що будівля компанії знаходиться... прямо переді мною?","О, похоже, здание компании должно быть... то, что передо мной?",看起來這公司的建築就是我眼前的這間？
SAY.ENIntro.120.Ellie,,Let’s go!,Vamos lá!,Ходімо ж усередину!,Пошли!,走吧！
SAY.ENIntro.40.Ellie,,"Woah... wait.. hold on, what’s going on?!?!","Uau... espera... espera aí, o que tá acontecendo?!?!",Овва... Ге- стривайте! Що відбувається?!?!,Ого... подожди... что происходит?!?,剛剛發生了什麼事？
SAY.ENIntro.205.,,"Okay, if you insist...","Então tá, se você insiste...","Гараздоньки, якщо ти наполягаєш...","Ладно, если настаиваешь...",好吧！如果你堅持。
SAY.ENIntro.33.,,"And thus Ellie the normal girl with normal hobbies continued on with her normal day in her normal life in this normal, non-corrupted, world.","E então Ellie, a garota normal com passatempos normais, seguiu seu dia normal na sua vida normal neste mundo normal e não corrompido.",І ось так звичайна дівчина зі звичайними захопленнями на ім’я Еллі продовжила далі жити своїм звичайним життям у цьому звичайному й зовсім не зіпсованому світі.,"И так Элли, обычная девушка с обычными увлечениями, продолжила свой обычный день в своей обычной жизни в этом обычном, не иссечённом миром.",所以艾莉就繼續待在在她眼裡不被污染的世界內，平靜的、快的生活。
SAY.ENIntro.70.Ellie,,Today is my 3-week job anniversary with Miss!,Hoje faz 3 semanas que trabalho com a Dona!,Сьогодні вже рівно три тижні моєї спільної роботи з Панною!,Сегодня — моя трёхнедельная годовщина работы с мисс!,今天是我得到工作的第三週！
SAY.ENIntro.103.Ellie,,"Honestly, she was pretty terrible at explaining what the job actually entails...{wc}I know it all sounds so suspicious -- I didn’t even believe it at first, until I cashed in my first paycheck -- but I love seeing the money in my bank account!!","Sinceramente, ela explicou muito mal o que nosso trabalho realmente envolve...{wc}Eu não acreditei no começo, afinal parecia suspeito, até que recebi meu primeiro pagamento, e eu amo ver dinheiro na minha conta!!","Правду кажучи, вона насилу змогла мені пояснити, що моя робота передбачає...{wc}Знаю, звучить підозріло -- я й сама навіть спочатку не повірила, поки не отримала першу виплату, -- але мені подобається потік грошенят до мого гаманця.","Честно говоря, она была довольно плоха в объяснении, что именно включает в себя эта работа...{wc} Я понимаю, что это всё звучит подозрительно — я даже не поверила сначала, пока не получила свою первую зарплату — но мне нравится видеть деньги на своём счёте!",說實在話，她真的對於解釋工作細節很不在行......{wc}我知道這一切都聽起來很可疑—我一開始也不太相信，直到我收到帳單。—我最喜歡看到的就是自己的帳戶又多了一筆錢！！
SAY.ENIntro.134.Ellie,,"It’s just tough discovering things about the job I should've been told about, like how atrocious the hours really are.{wc}I said something about it, but Miss told me that I should’ve read the contract -- I know, but how could anyone possibly read such a boringly long thing??","Só é chato descobrir coisas sobre esse trabalho que eu deveria ter sido informada, como, por exemplo, os turnos terríveis.{wc}Eu comentei isso, mas Dona me disse que eu deveria ter lido o contrato... eu sei, mas como alguém poderia ler uma coisa tão comprida e chata??","Хоча про деякі речі я хотіла би знати до того, як приступила до обов’язків, як-от про те, якими жорсткими бувають зміни.{wc}Я вже згадувала про це Панні, проте вона лише відповіла, що я мала уважно прочитати угоду -- знаю, та хто ж при здоровому глузді читатиме таку до болю довгу писанину?","Просто тяжело узнавать вещи о работе, о которых мне должны были сказать заранее, например, насколько ужасные на самом деле часы работы.{wc} Я что-то сказала об этом, но мисс ответила, что мне следовало прочитать контракт — я знаю, но как можно было прочитать такую скучную длинную штуку?",不過不是一切皆好。這份工作的工時真的非常非常不穩定。{wc}我有跟小姐提過，但她說這些都已經在妳簽好的契約上了—我知道契約的重要性，但誰會仔細閱讀那份無聊的冗長的文件啊？
SAY.ENIntro.136.Ellie,,"Anyways, the only shift starts at 2 AM, and I get notice a day or two beforehand if I'm lucky. If I'm not, I get the notice the day of!{wc}Sometimes my shifts are even canceled just hours before.","De qualquer forma, o turno começa às 2 da manhã e eu só sou avisada com um ou dois dias de antecedência, se eu tiver sorte. Se eu não tiver, sou avisada só no dia do trabalho!{wc}Algumas vezes meu turno é cancelado apenas horas antes do trabalho.","В будь-якому разі, єдина зміна починається о 2 ночі, і повідомлення про вихід я отримую заздалегідь за день або два, якщо пощастить. Якщо ж ні, я отримую його в той самісінький день!{wc}Буває й таке, що мою зміну скасовують навіть за годину до початку.","В любом случае, единственная смена начинается в 2 часа ночи, и я получаю уведомление за день или два, если повезет. Если не повезет — то в день смены!{wc} Иногда смены даже отменяются за несколько часов до начала.",凌晨兩點是我們工作開始的時候。雖然薪資很高，但工作的通知總是來得不穩定。運氣好時也頂多會提早幾天寄送，但大多都會工作幾小時前才寄送。不過如果當天沒有被通知，就代表我能休息一天！{wc}有時我的工作也會在工作開始前幾小時就被取消。
SAY.ENIntro.138.Ellie,,"R.I.P my sleep schedule, but anything for the money, I guess...!{","Minha rotina de sono já era, mas tudo pelo dinheiro. Eu acho...","Спочивай із миром, мій графіку сну, але на що не підеш заради грошей... гадаю.","Покойся с миром, мой режим сна, но ради денег, думаю, можно и потерпеть...!",我只好為了錢犧牲一點睡眠吧！
SAY.ENIntro.141.Ellie,,"It's currently 5 PM. I've got 9 more hours before my job today starts.{wc}Gaaaah, this day is going to be soooo long.","Já são 5 da tarde. Tenho mais 9 horas até o início do trabalho de hoje.{wc}Gaaaah, esse será um dia muuuito longo.","Зараз 5 година. Маю ще 9 годин до початку роботи.{wc}Ех, сьогоднішній день обіцяє бути довгим.","Сейчас 5 вечера. У меня ещё 9 часов до начала работы сегодня.{wc} Гаааах, этот день будет таким длинным.",現在是下午五點，離工作開始還有九小時。{wc}今天感覺是很常的一天啊！
SAY.ENIntro.83.Ellie,,"Alright, it’s 12 AM and Miss just confirmed that we have work today! Time to get ready!{wc}Huh? Do I like my job?","Certo, é meia-noite e a Dona acabou de confirmar que temos trabalho hoje! Hora de me arrumar!{wc}Hã? Se eu gosto do meu trabalho?","Добре, вже північ і Панна підтвердила, що сьогодні попрацюємо. Час збиратися!{wc}Га? Чи подобається мені моя робота?","Ладно, уже 12 ночи, и мисс только что подтвердила, что у нас есть работа сегодня! Время готовиться!{wc} Хм? Нравится ли мне моя работа?",現在是凌晨十二點然後已經被小姐通知今天的工作了！該開始準備了！{wc}你問我我喜歡現在的工作嗎？
SAY.ENIntro.142.Ellie,,"Well, I mean... the maid costume is cute! It’s my favorite part of this work. So yeah, I guess I do like it!","Bem, quero dizer... o traje de faxineira é fofo! É minha parte favorita desse trabalho. Então sim, acho que gosto!","Ну, тобто... Костюм покоївки досить милий! Ця моя улюблена частина всієї справи. Тож так, гадаю, вона мені подобається.","Ну, я имею в виду... костюм горничной милый! Это моя любимая часть этой работы. Так что да, наверное, мне это нравится!",女僕裝很好看啊！可以說穿著女僕裝總是能夠點亮自己的工作心情。
SAY.ENIntro.145.Ellie,,"It just seems a little dangerous sometimes, but Miss takes care of me really well. She’s so mature even though she’s my age. I’m really grateful for her!","Só parece ser um pouco perigoso às vezes, mas Dona toma conta de mim muito bem. Ela é tão madura, mesmo tendo a mesma idade que eu. Sou realmente grata a ela!","Просто іноді вона видається небезпечною, але Панна добре дбає про мене. Вона така доросла, хоч і одного віку зі мною. Я справді їй вдячна!","Иногда это кажется немного опасным, но мисс очень хорошо обо мне заботится. Она такая взрослая, хотя у нас одинаковый возраст. Я действительно благодарна ей!",只是有時就覺得有點危險而已，不過小姐總是會保護我的安全。雖然小姐跟我差不多年紀，但她感覺比我成熟許多！我真的非常感謝她！
SAY.ENIntro.88.Ellie,,"{i}I walk into Pocket Jewelry Shop.{wc}Unlike what the name might suggest, it’s actually a very high-end brand that apparently only sells the most high-quality jewelry.{wc}I'd like to buy some one day.{wc}Pocket Jewelry, definitely not meant to be carried in your pocket or paid with pocket money.{/i}","{i}Eu entro na loja Joias de Bolso.{wc}Ao contrário do que o nome pode sugerir, essa marca, na verdade, é de alto padrão e aparentemente só vende joias de alta qualidade.{wc}Eu gostaria de comprar alguma um dia.{wc}Joias de Bolso, definitivamente não foram feitas para serem carregadas no seu bolso ou pagas com dinheiro que cabe no bolso.{/i}","{i}Я зайшла до крамниці «Кишенькові прикраси».{wc}Попри свою назву, це насправді висококласний бренд, що продає лише високоякісні вироби.{wc}Хотіла би одного разу придбати там щось.{wc}«Кишенькові прикраси», точно не призначені для носіння в кишені або оплати кишеньковими грошима.{/i}","{i} Я вхожу в магазин Pocket Jewelry.{wc} Несмотря на то, что название может обмануть, это на самом деле очень дорогой бренд, который, как утверждается, продаёт только самые качественные украшения.{wc} Я бы хотела купить что-то когда-нибудь.{wc} Pocket Jewelry, определённо не для карманов и не для карманных денег.{/i}","{i}我徐徐走進中正珠寶店。{wc}店內似乎是專門銷售珠寶以及鑽戒的高檔店。{wc}我也希望有一天自己買得起。{wc}中正珠寶店—Pocket Jewelry, definitely not meant to be carried in your pocket or paid with pocket money.{/i}"
SAY.ENIntro.92.Miss,,"Hey there, Ellie! How are you?","E aí, Ellie! Como você está?","Гей, Еллі. Як ся маєш?","Привет, Элли! Как ты?",嘿艾莉！妳好嗎？
SAY.ENIntro.95.Ellie,,I’m doing great! How about you?,Estou ótima! E você?,Усе чудово. Як щодо Вас?,У меня всё отлично! А как у тебя?,我過得很好！妳呢？
SAY.ENIntro.146.Miss,,"Good to hear, I’m well too!{wc}As you can probably tell, we’re cleaning up after a jewelry shop robbery today.","Bom saber, eu também estou bem!{wc}Como você pode ver, iremos arrumar tudo depois de um roubo que aconteceu hoje nesta loja de joias.","Рада це чути, теж у порядку!{wc}Як ти можеш бачити, сьогодні ми прибираємо наслідки пограбування ювелірної крамниці.","Рада слышать, у меня тоже всё хорошо!{wc} Как ты, наверное, уже догадалась, сегодня мы убираемся после ограбления ювелирного магазина.",我也不錯！{wc}妳可能看得出來，今天我們要來清理一樁珠寶偷竊案現場。
SAY.ENIntro.97.Miss,,Someone broke the windows and all the cases; I’ll be fixing a few small things around the area and you can cover the more prominent issues.,Alguém quebrou as janelas e todas as vitrines dos balcões. Eu arrumarei umas coisinhas pela região e você pode se ocupar com as coisas mais relevantes.,"Хтось зламав вікна й усі вітрини; я полагоджу деякі дрібні речі, а ти можеш узятися за більш значні.","Кто-то разбил окна и все витрины; я немного поработаю над мелкими вещами в этом районе, а ты займёшься более заметными проблемами.",有人打破了窗戶和展示櫃！你來幫忙清理並修復玻璃吧！我會幫忙處理剩下的小事。
SAY.ENIntro.149.Miss,,Let’s make it a good one!,Vamos fazer um bom trabalho!,Зробімо це!,Сделаем это!,我們開始吧！
SAY.ENIntro.99.Ellie,,"{i}(Ah, I forgot to tell you the second most important part of the job -- the first being our maid dresses, of course!)","{i}(Ah, eu esqueci de lhe contar a segunda parte mais importante do trabalho [com a primeira sendo nossos trajes de faxineira, claro!])","{i}(А, я забула розповісти тобі про наступну важливу частину цієї роботи -- першою є костюм покоївки, авжеж!)","{i}(Ах, я забыла сказать тебе вторую по важности часть работы — первая, конечно же, наши платья горничных!)",{i}（我好像忘記跟你介紹我們的工作內容了，當然最重要的還是我們的女僕裝啦～）
SAY.ENIntro.151.Ellie,,"{i}(We’re actually cleaning up top secret crime scenes!){wc}(I know, it shocked me at first, too!!!)","{i}(Nós, na verdade, estamos limpando cenas de crime ultra secretas!){wc}(Eu sei, a princípio também fiquei chocada!!!)","{i}(Ми насправді прибираємо цілком таємні місця злочину!){wc}(Знаю, мене це саму було приголомшило!)","{i}(На самом деле, мы убираем на сверхсекретных местах преступлений!){wc}(Знаю, меня тоже это сначала шокировало!!!)",{i}（我們其實要清理犯案現場！）{wc}（這在一開始也有點出乎意料！）
SAY.ENIntro.153.Ellie,,"{i}(Well, I say we clean up “crime scenes,” but I’ve only done robberies that involve broken glass so far. I guess Miss is only confident in my glass repairing skills.)","{i}(Bom, eu digo que limpamos ""cenas de crime"", mas, até agora, só limpei cenas de roubo que envolviam vidro quebrado. Eu acho que a Dona só confia nas minhas habilidades de reparo de vidro.)","{i}(Ну, я сказала «сцени злочину», але досі я розбиралася лише з наслідками пограбувань та розбитим склом. Гадаю, Панна впевнена в моїх навичках ремонтування скла.)","{i}(Ну, я говорю, что мы убираем «места преступлений», но до сих пор я только убиралась после ограблений с разбитыми витринами. Похоже, мисс доверяет только моим умениям в ремонте стекла.)",{i}（雖然我們清理的是「犯案現場」但是我目前處理的也頂多是修復偷竊案後的碎玻璃，看來小姐目前只相信我修復玻璃的能力吧！）
SAY.ENIntro.157.Ellie,,What -- what am I wearing??{wc}Wow... I actually look really cute in this costume.{wc}Who knew wearing so many ruffles could fit me so well?,"O que... o que estou vestindo??{wc}Uau... na verdade, eu fiquei bem fofa com esse traje.{wc}Quem diria que usar tantos babados combinaria tanto comigo?","Що? Що це на мене вдягнуто???{wc}Воу... А я виглядаю дійсно мило в цьому.{wc}Хто ж знав, що так багато рюшів личитиме мені?","Что — что я на себе ношу??{wc} Вау... я действительно выгляжу мило в этом костюме.{wc} Кто бы мог подумать, что столько рюшей мне так подходит?",我......我到底身上穿了什麼啊！{wc}哇！這服裝穿起來好可愛啊！{wc}誰知道穿這麼多摺邊會這麼合？
SAY.ENIntro.159.???,,"Hello, dear!","Olá, querida!","Вітаю, люба.","Привет, дорогая!",妳好啊！
SAY.ENIntro.161.Ellie,,WAAAH!{wc}What the melon?? {wi}...Who are you?,AHHHH!{wc}Santo melão!? {wi}...Quem é você?,АААА!{wc}Матінко гарбузова! {wi}...Ви хто?,ААААА!{wc} Что за дичь?? {wi}...Ты кто?,啊啊啊！{wc}發生什麼事！？{wi}妳是誰！？
SAY.ENIntro.163.???,,..? {wi}You walked into my company and you’re asking who I am?,..?{wi} Você entrou na minha empresa e está perguntando quem sou eu?,..? {wi}Ти прийшла в мою компанію й питаєш мене це?,"..? {wi}Ты заявилась ко мне в компанию и ещё спрашиваешь, кто я?",？{wi}妳走進了我的公司還問我是誰？
SAY.ENIntro.165.Ellie,,"OH!! {w=0.5}Oh, I’m so sorry! I didn’t realize! I got distracted by-- uh, my dress, like...","AH!! {w=0.5}Ah, me desculpe! Eu não percebi! Eu me distraí com... é, meu traje, tipo...","ОЙ! {w=0.5}Ох, вибачте! Я не збагнула! Мене збило з пантелику моє... е-е, вбрання...","ОЙ!! {w=0.5}Ой, прости! Я не заметила! Просто задумалась о... эм, своём платье, как бы...",歐！{w=0.5}歐，真是抱歉！我沒注意到！我被我自己的女僕裝分神了。
SAY.ENIntro.167.???,,"Hahaha, you’re an adorable one.{wc}Did you come here because you were interested in our job listing?","Hahaha, você é adorável.{wc}Você veio aqui porque está interessada em trabalhar conosco?","Ха-ха-ха, а ти мила.{wc}Ти прийшла сюди через відкриті вакансії?","Хахаха, какая же ты прелесть.{wc} Ты здесь из-за нашего объявления о работе?",呵呵呵妳好可愛啊！{wc}妳是來這邊應徵的吧！
SAY.ENIntro.169.Ellie,,Ummmm... I guess??,"Hummm... Sim, talvez??","Ем-м, так... гадаю?",Ммм... Пожалуй??,ㄜ......我猜？？？
SAY.ENIntro.171.Ellie,,"Truthfully, I came in here to ask about that, but I have no idea how I got in this dress, I swear it was some magical girl type of thing... {wc}I don’t know, I probably sound really crazy right now, but I seriously am so confused!","Sinceramente, eu vim aqui para perguntar sobre isso, mas eu não tenho ideia de como acabei com esse traje, eu juro que foi algum tipo de mágica... {wc}Eu não sei, devo estar parecendo ser louca, mas estou realmente confusa!","Правду кажучи, я сюди прийшла саме для цього, проте ніяк не збагну, як на мені опинилося це вбрання, -- закладаюся, це були якісь чари... {wc}Не знаю, певна річ, я звучу неначе божевільна, але мене це сильно збентежило!","Если честно, я пришла сюда узнать об этом, но совершенно не понимаю, как оказалась в этом платье! Клянусь, это было похоже на какую-то трансформацию из аниме про магических девочек... {wc} Не знаю, наверное, это звучит безумно, но я правда ничего не понимаю!""",我的確是來這邊應徵的，但我自己也不太清楚是如何得到女僕裝的，大概是像動漫內的美少女是如何登場的樣子吧！她們都會在討伐大怪之前華麗地換上戰鬥服裝。{wc}你可能不相信我，但連我都很困惑剛剛發生什麼事！
SAY.ENIntro.172.???,,"Haha, that sounds like a weird occurrence.","Haha, isso parece ser um acontecimento estranho.","Ха-ха, звучить химерно.","Хаха, звучит как нечто необычное.",哈哈，剛剛看似經過了一連串的怪事......
SAY.ENIntro.173.Ellie,,{i}(She doesn’t believe me...){/i},(Ela não acredita em mim...),{i}(Вона мені не вірить...){/i},{i}(Она мне не верит...){/i},{i}（她好像不太相信我......）{/i}
SAY.ENIntro.174.???,,"Here, as you might have known already, we are currently hiring at the moment and we start at $1,500 per job.{wc}Jobs usually takes an hour, though our working hours aren’t the most stable or convenient.{wc}Tell you what, I’ve taken a liking to you. All you need to do is fill out this contract and you’re all set to go!","Então, como você já deve saber, nós estamos contratando no momento e começamos com 7 mil reais por trabalho.{wc}Cada trabalho leva cerca de uma hora, embora nossas horas de trabalho não sejam as mais estáveis ou convenientes.{wc}Sabe de uma coisa, gostei de você. Tudo que você precisa fazer é preencher este contrato e você estará pronta!","Тут, як ти вже напевне знаєш, ми набираємо працівників, починаючи з виплат у розмірі $1500 за виконану роботу.{wc}Робота зазвичай займає годину, проте наш графік не надто стабільний та зручний.{wc}Знаєш, а ти мені сподобалась. Усе, що тобі потрібно, -- підписати цей контракт -- і ти готова до роботи!","Здесь, как ты, наверное, уже поняла, мы сейчас нанимаем сотрудников, и стартовая зарплата составляет 1500 долларов за задание.{wc}Обычно задания занимают около часа, хотя рабочие часы у нас не самые стабильные и удобные.{wc}Слушай, ты мне действительно понравилась. Тебе нужно только заполнить этот контракт, и ты готова!",妳可能已經看出來我們的工作起薪於每次新台幣五萬。{wc}每次工作差不多一小時，但工作內容不會是最輕鬆或方便的。{wc}不如這樣說好了，妳已經被錄取了！簽好這份契約就可以開始工作了！
SAY.ENIntro.176.Ellie,,"Ahhh, $1,500 an hour sounds like a godsend!! It’s too good to be true! I guess the unstable hours are the tradeoff.","Ahhh, 7 mil reais por hora parece um presente dos céus!! É bom demais para ser verdade! Imagino que as horas instáveis sejam o lado ruim.","Ах, $1500 за годину звучить просто неймовірно!!! Це занадто гарно, щоби бути правдою! Гадаю, це як компроміс за нестабільний графік.","Ааа, 1500 долларов в час — это просто рай!! Слишком круто, чтобы быть правдой! Наверное, нестабильные рабочие часы — это и есть тот самый компромисс.",哇！一次工作就領五萬實在是很難相信，這可能是社會上 CP 值最高的工作了吧！我在猜不穩定的工時應該就是為什麼給的薪水如此的高的原因吧！
SAY.ENIntro.178.Ellie,,"But waitwaitwait, I don’t even know much about this job!{wc}As far as I’m aware, we work as maids, but that doesn’t tell me anything! What do we even do?","Mas peraperapera, eu nem sei muito sobre esse trabalho!{wc}Pelo que eu sei, nós trabalhamos como faxineiras, mas isso não me diz nada! O que nós fazemos, de fato?","Але стійстійстій, я навіть нічого не знаю про зміст роботи!{wc}Усе, що мені досі було відомо, так це те, що ми працюємо як покоївки, але це мені мало про що говорить! Що передбачає ця робота?","Но подождите-подождите, я ведь даже толком не знаю, что за работа!{wc} Насколько я поняла, мы горничные, но это мне ничего не говорит! Чем нам вообще предстоит заниматься?",等等啊！我還不知道具體的工作內容啊！{wc}據我所知，我們以女僕的身份工作，但那好像也沒能完全解釋我們的工作內容啊！我們到底是在做什麼的？
SAY.ENIntro.179.???,,"Oh, we just clean up some messes people have made, and we are to usually work in different places, though you’ll probably be working with me.{wc}It is actually quite a simple job. You will only need to work on the easier tasks at first, such as picking up broken material and sweeping floors.{wc}Just make sure you don’t tell anyone about this job or what you do and know that I can’t answer all your questions. Our clients are pretty serious about staying private!","Ah, nós só limpamos a bagunça de algumas pessoas e, geralmente, trabalhamos em lugares diferentes, embora você provavelmente vá trabalhar comigo.{wc}Na verdade, é um trabalho bem simples. A princípio, você só terá que realizar as tarefas mais simples, como juntar coisas quebradas e varrer o chão.{wc}Só se certifique de não contar para ninguém sobre esse trabalho ou sobre o que você faz e saiba que eu não consigo responder a todas as suas perguntas. Nossos clientes levam a privacidade realmente a sério!","О, ми просто прибираємо безлад, що влаштовують люди, і зазвичай ми працюємо в різних місцях, та ти, вірогідно, працюватимеш разом зі мною.{wc}Переважно все просто. Спочатку тобі доведеться працювати лише з нескладними завданнями, як-от прибрати сміття або протерти підлогу.{wc}Тільки переконайся, щоби ти нікому не розповідала про свою роботу та свої обов’язки, та май на увазі, що я не відповідатиму на всі твої запитання. Наші клієнти дуже переймаються приватністю!","А, мы просто убираем за людьми, обычно работаем в разных местах, но, скорее всего, ты будешь работать со мной.{wc} На самом деле, работа достаточно простая. Сначала тебе предстоит заниматься лёгкими задачами, такими как сбор разбитых предметов и подметание пола.{wc} Просто не рассказывай никому о работе или о том, чем ты занимаешься, и помни, что я не смогу ответить на все твои вопросы. Наши клиенты очень серьёзно относятся к конфиденциальности!","Oh, we just clean up some messes people have made, and we are to usually work in different places, though you’ll probably be working with me.{wc}It is actually quite a simple job. You will only need to work on the easier tasks at first, such as picking up broken material and sweeping floors.{wc}Just make sure you don’t tell anyone about this job or what you do and know that I can’t answer all your questions. Our clients are pretty serious about staying private!"
