Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.Final.289.Ellie,,Huh..??? Miss?,... Hã..?? Dona?,Га??? ...Панно?,А...???? Мисс?,蛤？？？小姐？？
SAY.Final.299.,,"{i}A dead man lies in front of me, and Miss holds the knife.{wc}I’m unable to say anything for a few moments.{wc}When I finally get my voice back, I can only stutter incoherent words, gesturing wildly between the person on the ground and Miss.","{i}Na minha frente, um homem morto, e Dona segura uma faca.{wc}Por uns momentos, não consigo pronunciar uma palavra.{wc}Quando finalmente recupero minha voz, apenas gaguejo palavras sem sentido, apontando alternadamente para a pessoa no chão e para a Dona.","{i}Переді мною лежить мертва людина, а в руках Панни -- ніж.{wc}Кілька хвиль я не могла видати з себе жодного звуку.{wc}Коли я нарешті змогла опанувати свій голос, то могла лише нерозбірливо белькотати, вказуючи то на мертве тіло, то на Панну.","{i}Передо мной лежит мертвый человек, а мисс держит нож.{wc}Я не могу ничего сказать несколько мгновений.{wc}Когда я, наконец, восстанавливаю голос, я могу только заикаясь произносить невнятные слова, яростно указывая между человеком на земле и мисс.",{i}一具血淋淋的男屍體映入眼前。小姐手上拿著刀以那殘酷的眼神瞪著在她身前的那具屍體，彷彿在無聲地宣稱自己的勝利。{wc}沈重的空氣讓我的嘴巴出不了力。{wc}當我總算拾回自己的聲帶時，嘴中也僅能碎唸出毫無意義、片面的文字，慌慌張張地指著那具不堪的屍體以及對自己所犯下的罪毫無罪惡感的小姐。
SAY.Final.300.Miss,,Ah.. Ellie?,Ah.. Ellie?,Ах... Еллі?,Ах... Элли?,啊......艾莉？
SAY.Final.302.Miss,,...You’re here early.{wc}Or I guess you’re finally here on time?,...Você chegou cedo.{wc}Ou será que finalmente chegou na hora certa?,"...Ти сьогодні рано.{wc}Або, гадаю, якраз учасно?","...Ты пришла рано.{wc}Или, наверное, ты наконец-то пришла вовремя?",......妳好像提早到了{wc}或是說妳總算準時到現場了呢......
SAY.Final.116.Ellie,,What... {wi}Are you okay? {wi}Did they -- {wi}why are you holding -- {wi}did you do this?{wc}No -- {wi}you can’t -- {wi}but -- {w=0.2}why? What-- {w=0.2}why would you do this? What did they do to you?,O que...{wi} você está bem? {wi}Eles... {wi}por que você está segurando... {wi}você fez isso?{wc}Não...{wi} você não pode... {wi}mas...{w=0.2} por quê? O que... {w=0.2}por que você faria isso? O que eles fizeram para você?,Що... {wi}Ви в порядку? {wi}Вони -- {wi}чому Ви тримаєте -- {wi}це Ви зробили?{wc}Ні -- {wi}Ви не могли -- {wi}але -- {w=0.2}чому? Що-- {w=0.2}навіщо Вам це було б робити? Що вони Вам заподіяли?,Что... {wi}Ты в порядке? {wi}Они — {wi}почему ты держишь — {wi}ты сделала это?{wc}Нет — {wi}ты не можешь — {wi}но — {w=0.2}почему? Что-- {w=0.2}почему ты это сделала? Что с ними случилось?,......啥{wi}妳，妳還好嗎{wi}他們—{wi}為什麼妳拿著—{wi}妳殺—殺了他嗎？{wc}不—{wi}這不可能—{wi}但為什麼—{w=0.2}為什麼？{w=0.2}妳會做幹出這樣的事？他們對妳做了什麼？
SAY.Final.92.Miss,,"I think you figured it out, so I’ll just answer your last question. What did this guy do to me?","Eu acho que você já descobriu, então apenas irei responder sua última pergunta. O que esse cara fez para mim?","Думаю, головне ти зрозуміла, тож відповім на твоє останнє запитання. Що цей чоловік зробив мені?","Думаю, ты уже разобралась, так что я просто отвечу на твой последний вопрос. Что этот парень сделал со мной?",我覺得妳好像自己看得出來了，所以我只幫妳回答妳最後的問題。剛剛那傢伙對我做了什麼？
SAY.Final.134.Miss,,Nothing.,Nada.,Нічого.,Ничего.,什麼都沒有。
SAY.Final.132.Miss,,"But he trafficked humans and laundered money (remember the jewelry store?). Hundreds of people -- children, teens, adults, 6 year olds and 30 year olds -- all assaulted in unthinkable ways. And all for a perception of luxury.","Mas ele traficava pessoas e lavava dinheiro (lembra-se da loja de joias?). Centenas de pessoas... crianças, adolescentes, adultos, pessoas com 6 anos, com 30 anos... todos violados de formas inimagináveis. E tudo por causa de luxúria.","Але він торгував людьми й відмивав гроші (пам’ятаєш ту ювелірну крамницю?). Сотні людей -- діти, підлітки, дорослі, 6- й 30-річні -- всі зазнали немислимої наруги. І все заради відчуття розкоші.","Но он торговал людьми и отмывал деньги (помните ювелирный магазин?). Сотни людей - дети, подростки, взрослые, шестилетние и тридцатилетние - все подверглись немыслимому насилию. И все ради ощущения роскоши.",但他專門經營人口販賣產業並且把錢洗得一乾二淨的（還記得中正珠寶店嗎？）。幾百位無辜的平民老百姓—包含兒童、青年、成年人、從六歲到三十歲的人都曾被他以無法想像的方法清害—一切都只為了他自己對於金錢利益的欲望。
SAY.Final.93.,,"{i}My legs give out, and I drop to my knees. I feel sick to my stomach.{wc}Thump, thump, thump... I can’t tell if it’s my heart or the apples around me.","{i}Minhas pernas fraquejam e caio de joelhos no chão. Sinto uma dor no estômago.{wc} Tum, tum, tum... eu não sei dizer se é o som do meu coração ou das maçãs colidindo ao meu redor.","{i}Мої ноги підкошуються -- і я падаю на коліна. Мені зле.{wc}Стук, стук, стук... Не можу сказати напевно, чи це серце стукає, чи яблука на підлозі.","{i}Мои ноги подкашиваются, и я падаю на колени. Мне становится плохо.{wc}Тух, тух, тух... Я не могу понять, это моё сердце или яблоки вокруг меня.",{i}我的腳逐漸始不出力，痙孿著無法動彈。我無法接受小姐剛剛犯下的罪。{wc}碰碰碰......此時我也已經分不出到底是蘋果掉落一地的聲音還是自己的心跳聲。
SAY.Final.96.Miss,,What’s wrong? {wi}Is it too disturbing?,O que foi?{wi}É muito perturbador?,Що таке? {wi}Занадто жахливо?,Что не так? {wi}Это слишком пугающе?,妳還好嗎？{wi}太過難以接受了嗎？
SAY.Final.97.Ellie,,"{s=15}...Of course, you... {/s}{s=30}...psychopath!","{s=15}...Claro que sim, sua...{/s}{s=30}...psicopata!","{s=15}...Звісно, Ви... {/s}{s=30}...психопатка!","{s=15}...Конечно, ты... {/s}{s=30}...психопат!",{s=15}當然...{/s}{s=30}...妳是個瘋子！
SAY.Final.98.,,{i}A beat of silence passes.,{i}Um momento de silêncio se passa.,{i}Минає хвиля тиші.,{i}Проходит момент молчания.,{i}緊接而來的，是沉重的寧靜
SAY.Final.99.Miss,,"Oh~, my Ellie, you’re so innocent~! {wi}I loved that about you, you know?{wc}I love your innocence, your naive little mind, so so much. And your reaction now -- to think I was scared of showing you! You don’t know how much better this makes me feel.","Ah~, minha Ellie, você é tão inocente~! {wi}Eu amei isso sobre você, sabia?{wc}Eu amo muito sua inocência, sua pequena mente ingênua. E a sua reação agora... achar que eu teria medo de te mostrar! Você não sabe o quão bem isso me fez sentir.","Ох~, Моя Еллі, ти така невинна~! {wi}Я люблю цю рису в тобі, знаєш?{wc}Я люблю твою невинність, твій маленький наївний розум, дуже-дуже сильно. І твою поточну реакцію -- подумати тільки, я боялася відкрити це тобі! Ти не уявляєш, як приємно мені від того стає.","О~, моя Элли, ты такая невинная~! {wi}Я обожала это в тебе, знаешь?{wc}Я так сильно люблю твою невинность, твой наивный маленький разум. И твоя реакция сейчас — думать, что я боялась тебе это показать! Ты не представляешь, как мне теперь стало легче.",歐～我可愛無辜的艾莉～{wi}妳的天真是我最喜歡妳的一點妳知道嗎？{wc}看來妳也以為我會怕讓妳知道我現在正在做的事情，但正好相反。讓天真無辜的妳述說自己內心必要的惡真的釋放了我剛剛緊張的情緒呢～
SAY.Final.139.Miss,,"Oh, the sickly sweet sight of such a young and gullible person wandering the world on their own... the innocence one can never get back, the moment of love and loss...","Ah, a visão doce e doentia de uma jovem tão influenciável vagando pelo mundo sozinha... a inocência que ninguém pode recuperar, o momento de amor e perda...","Ох, до нудоти солодкий вид такої молодої та довірливої дівчини, що торує свій шлях у світі... невинність, яку не повернути, момент кохання й утрати...","О, этот приторно-сладкий взгляд на такую молодую и наивную душу, блуждающую по миру в одиночестве... невинность, которую уже нельзя вернуть, момент любви и утраты...",啊～看著一位天真無邪的女孩，無意間落入深淵無法返回從前的光景～
SAY.Final.142.Ellie,,"What... you... you’re sick...{wc}W-- wait... what do you mean “scared of corrupting me”?{wc}If this is what I was supposed to clean today, then have we been cleaning up after your crimes this entire time??","O que... você... você é doente...{wc}E espera aí... o que você quis dizer com ""medo de me mostrar”?{wc}Se isso é o que era para eu arrumar hoje, então quer dizer que estivemos limpando cenas de crimes seus esse tempo todo??","Що... Ви... Ви хворі...{wc}С-- стривайте... тобто Ви «боялися зіпсувати мене»?{wc}Якщо й сьогодні я мала прибирати цей злочин, то весь цей час я прибирала за Вами???","Что... ты... ты больна...{wc}П-Подожди... что ты имеешь в виду, говоря ""боялась испортить меня""?{wc}Если это то, что мне нужно было очистить сегодня, то мы всё это время убирали за твоими преступлениями??",妳......真他媽有病！{wc}「不會怕我讓妳知道我現在正在做的事情」他媽是什麼意思？{wc}如果這是我們今天要清理的犯案現場，那我前幾次所清理的地點都是妳自己犯案過後的現場啊？？
SAY.Final.100.,,"{i}Miss opens her mouth to say something, but I cut her off.","{i}Dona abre a boca para falar algo, mas eu a interrompo.","{i}Панна розкриває рота, аби щось сказати, та я її перебиваю.","{i}Мисс открывает рот, чтобы что-то сказать, но я перебиваю её.",{i}小姐彷彿想說什麼，但我立刻打斷他
SAY.Final.145.Ellie,,"The -- the jewelry replacements! Those were fake, weren’t they? And everything you had me do, just so people wouldn’t notice something went wrong.{wc}The ‘feud’ at the jewelry shop, that one clerk’s assurement that the jewelry was genuine, the atrocious 2 AM worktimes, the blood you convinced me wasn’t blood.{wc}It was all a lie...? {wi}These were all your own crimes?","A... a substituição das joias! Elas eram falsas, não eram? E tudo o que você me obrigou a fazer, só para que ninguém notasse que algo estava errado.{wc}A discussão na loja de joias, aquela afirmação da atendente de que a joia era verdadeira, os terríveis turnos às 2 da manhã, o sangue que você me convenceu de que não era sangue.{wc}Era tudo mentira...? {wi}Eram todos crimes seus?","Під-- Підміна ювелірних прикрас! Вони були несправжніми, чи не так? І все, що Ви мене змушували робити, щоби люди не помітили, що щось не так.{wc}«Непорозуміння» в ювелірній крамниці, ті переконання продавця у справжності прикрас, гарування о 2 ночі, кров, що Ви мене переконували, що це насправді не вона.{wc}Усе це була брехня? {wi}Усе це були Ваші злочини?","Те -- замены ювелирных изделий! Они были фальшивыми, не так ли? И всё, что ты заставляла меня делать, чтобы люди не заметили, что что-то пошло не так.{wc}Тот 'конфликт' в ювелирном магазине, уверенность того продавца, что ювелирные изделия настоящие, ужасные рабочие часы в 2 ночи, кровь, которую ты убедила меня, что это не кровь.{wc}Всё это было ложью...? {wi}Это были твои собственные преступления?",那些珠寶替代品！那些都是贗品，對吧？還有那些我一切為妳所做的事，都是為了轉移其他人的注意力，以讓他們不要察覺到妳骯髒的罪行，對吧！{wc}那些妳曾說服我是咖啡渣的血跡以及其他妳曾經交待過我的{wc}全都是謊話！{wi}這些都是妳親手犯下的罪吧！
SAY.Final.102.Miss,,"You just noticed?{wc}Hahaha, you’re so cute. There’s more you haven’t observed yet.{wc}But yes, I guess some of what we’ve been covering have been ‘my’ crimes -- though they’re ours now, since you helped me cover them. Still valid crimes, if I do say so myself.","Você só percebeu agora?{wc}Haha, você é tão fofa. Ainda tem mais coisas que você não percebeu.{wc}Mas sim, acho que algumas das cenas nas quais trabalhamos foram de crimes ""meus"", embora eles agora sejam ""nossos"", já que você me ajudou a encobri-los. Ainda são crimes válidos, eu diria.","Ти тільки здогадалася?{wc}Ха-ха-ха, яка ж ти миленька. Хоча ти помітила далеко не все.{wc}Але так, гадаю, що деякі сцени злочину, з якими ми працювали, були «моїми» -- проте тепер вони наші, бо ти допомогла мені їх приховати. Але все ж справедливі злочини, якщо на те пішло.","
Ты только сейчас заметила?{wc}Хахаха, ты такая милая. Есть ещё кое-что, что ты не заметила.{wc}Но да, думаю, часть того, что мы убирали, были 'моими' преступлениями — хотя теперь они наши, потому что ты помогала мне скрывать их. Всё равно действительные преступления,  так скажу.",妳現在才發現？{wc}哈哈哈，妳還真是可愛。不過還有某些細節妳還沒觀察到呦～{wc}不過妳說得一點也沒錯，這些全都是我親手犯下的罪，但要說也是「我們」共同犯下的罪吧？
SAY.Final.103.Ellie,,"{s=15}...What do you mean, valid crimes?","{s=15}...O que você quer dizer com ""crimes válidos”?",{s=15}...Тобто «справедливі злочини»?,"{s=15}...Что ты имеешь в виду под ""действительными преступлениями""?",{s=15}為什麼是「我們」？
SAY.Final.104.Miss,,"Oh, darling, haven’t you ever wondered why these places you’ve been cleaning up are interconnected?{wc}Or maybe you didn’t realize.","Ah, amada, você nunca pensou no porquê de todos esses lugares estarem conectados?{wc}Ou talvez você não tenha percebido.","О, люба, ти ніколи не замислювалася, яким чином усі ті місця, які ти прибирала, пов'язані між собою?{wc}Або ти просто не усвідомлювала.","О, дорогая, ты разве никогда не задумывалась, почему эти места, которые ты убираешь, связаны между собой?{wc}Или, может, ты не заметила.",歐，我的寶貝，妳難道沒有好奇過為什麼妳所清理的地點之間的關聯嗎？{wc}還是妳可能還沒察覺到蹊蹺？
SAY.Final.146.Miss,,"If only you did a little bit of research, though your naivety is one of your most charming points.","Se talvez você tivesse pesquisado um pouco, embora sua ingenuidade seja uma das suas características mais encantadoras.","Якби ж ти лише спробувала все дослідити бодай трішки, хоча твоя наївність є однією з найдорогоцінніших рис.","Если бы ты немного поизучала, хотя твоя наивность — одна из самых очаровательных черт.",唉，如果妳當初多做點功課～不過不管如何妳的天真讓你的可愛度大大地加分呦～
SAY.Final.105.Ellie,,"I... Don’t harm me, please. I’m going. I’m leaving. I’m quitting.","Eu... Não me machuque, por favor. Eu estou indo. Estou indo embora. Estou me demitindo.","Я... Благаю, не чіпайте мене. Я йду. Я йду геть. Я звільняюся.","Я... Пожалуйста, не трогай меня. Я ухожу. Я покидаю это. Я увольняюсь.",拜......拜託不要傷害我。我要走了，我真的要走了，我不要繼續上班了。我要使用喬斯達的大絕招—Nigerundayo～
SAY.Final.106.Miss,,...And where would you go? At least we’re helping our world here.,...E para onde você iria? Pelo menos estamos ajudando nosso mundo aqui.,...І куди ти збираєшся йти? Принаймні тут ми допомагаємо нашому світу.,"..А куда ты пойдешь? По крайней мере, мы помогаем нашему миру здесь.",哈！真可笑～妳終究要逃去哪呢？喬斯達也救不了妳啊！至少我所做的是必要之惡！
SAY.Final.150.Miss,,"Oh, Ellie, wherever you go, there’s going to be terrible people, corrupt ones that would throw you away without a single thought.{wc}But I wouldn’t.{wc}And think about it. All we’re doing is cleaning the world, one mistake at a time.","Ah, Ellie, aonde quer que você vá, verá pessoas terríveis, corrompidas, que se livrariam de você sem pensar duas vezes.{wc}Mas eu não faria isso.{wc}E pense nisso. Tudo o que estamos fazendo é limpar o mundo, um erro de cada vez.","Ох, Еллі, куди б ти не пішла, довкола будуть жахливі люди, зіпсовані індивіди, що пройдуть по твоїй голові без зайвої думки.{wc}Але я не така.{wc}Просто подумай про це. Ми очищуємо світ, по одній хибі за раз.","О, Элли, куда бы ты ни пошла, там будут ужасные люди, испорченные, которые выбросят тебя, не задумавшись ни на секунду.{wc}Но я не буду.{wc}Подумай об этом. Всё, что мы делаем, — это чистим мир, одну ошибку за раз.",即使妳逃到天涯海角還是會有妳眼中的惡人，特別是下三爛的那種，會把妳當垃圾丟在一旁蹂躪。{wc}但我不會。{wc}往好處想，我們所做的是，雖然不是最為正義的，但我們也是想辦法把這骯髒的事件一點一滴的收拾乾淨，一次「清除」一項錯誤。
SAY.Final.107.Ellie,,You mean one corpse at a time.,Você quer dizer um corpo de cada vez.,Цебто по одному тілу за раз.,Ты имеешь в виду одно тело за раз.,妳是指一次處理一具屍體？
SAY.Final.108.Miss,,"Hahaha, sure, that works too.{wc}And yet we’re never going to run out of these corpses. In the end, the immoral acts of humanity will drown us all.","Hahaha, claro, pode ser, também.{wc}E, ainda assim, nunca será o suficiente. No fim, os atos imorais da humanidade afogarão todos nós.","Ха-ха-ха, правда, можна й так сказати.{wc}І все ж трупи ніколи не закінчаться. Врешті-решт аморальні вчинки людства потоплять нас усіх.","Хахаха, да, это тоже подойдёт.{wc}И всё же мы никогда не исчерпаем эти тела. В конце концов, аморальные поступки человечества поглотят нас всех.",哈哈，這樣說也是對的啊～{wc}更好的是，骯髒的人性使我們有清不完的屍體，即使把這世界上所有屍體清理完畢，我敢說每秒又有多好幾具屍體要清理啊～
